,NN-Material,NN- Coord Baseline,RF- Coord Acc.,NN- Coord Acc.,RF- Coord F1 (4),NN- Coord F1 (4),RF- Coord F1 (5),NN- Coord F1 (5),RF- Coord F1 (6),NN- Coord F1 (6),RF- Bader $R^2$,NN- Bader $R^2$,RF- Bader MAE,NN- Bader MAE,RF- Mean NN $R^2$,NN- Mean NN $R^2$,RF- Mean NN-MAE,NN- Mean NN-MAE
0,Ti,34.43,88.20 $\pm$ 0.12,91.76 $\pm$ 0.63,93.84 $ \pm$ 0.13,97.30 $ \pm$ 0.65, 81.98 $ \pm$ 0.20, 88.04 $ \pm$ 0.86, 88.67 $ \pm$ 0.17, 90.19 $ \pm$ 0.53, 64.08 $\pm$0.23, 74.40 $\pm$1.37,0.060 $\pm$0.000 ,0.060 $\pm$0.002 , 80.77 $\pm$0.18, 88.40 $\pm$1.18,0.015 $\pm$0.000,0.012 $\pm$0.001
1,V,34.35,86.56 $\pm$ 0.15,89.19 $\pm$ 0.60,94.64 $ \pm$ 0.09,96.57 $ \pm$ 0.29, 78.81 $ \pm$ 0.24, 84.18 $ \pm$ 0.83, 85.87 $ \pm$ 0.17, 87.06 $ \pm$ 0.92, 84.88 $\pm$0.05, 88.04 $\pm$0.59,0.070 $\pm$0.000 ,0.060 $\pm$0.002 , 94.90 $\pm$0.03, 96.77 $\pm$0.20,0.014 $\pm$0.000,0.012 $\pm$0.000
2,Cr,34.93,90.76 $\pm$ 0.21,93.63 $\pm$ 1.90,97.64 $ \pm$ 0.10,99.07 $ \pm$ 0.72, 85.29 $ \pm$ 0.35, 90.32 $ \pm$ 2.66, 89.29 $ \pm$ 0.27, 91.61 $ \pm$ 2.37, 87.27 $\pm$0.10, 92.34 $\pm$0.61,0.060 $\pm$0.000 ,0.050 $\pm$0.002 , 92.10 $\pm$0.09, 95.27 $\pm$0.55,0.020 $\pm$0.000,0.018 $\pm$0.002
3,Mn,34.54,87.45 $\pm$ 0.09,89.27 $\pm$ 0.61,96.27 $ \pm$ 0.05,98.04 $ \pm$ 0.38, 81.85 $ \pm$ 0.15, 84.69 $ \pm$ 0.66, 84.95 $ \pm$ 0.13, 85.86 $ \pm$ 0.97, 85.05 $\pm$0.07, 90.65 $\pm$0.41,0.060 $\pm$0.000 ,0.050 $\pm$0.001 , 92.10 $\pm$0.05, 93.75 $\pm$0.43,0.018 $\pm$0.000,0.016 $\pm$0.001
4,Fe,35.2,86.42 $\pm$ 0.14,88.62 $\pm$ 0.64,91.82 $ \pm$ 0.12,93.93 $ \pm$ 0.44, 79.99 $ \pm$ 0.21, 83.69 $ \pm$ 0.83, 87.57 $ \pm$ 0.14, 88.49 $ \pm$ 0.94, 78.32 $\pm$0.07, 82.06 $\pm$1.90,0.100 $\pm$0.000 ,0.080 $\pm$0.003 , 86.44 $\pm$0.07, 90.39 $\pm$0.63,0.017 $\pm$0.000,0.015 $\pm$0.001
5,Co,34.19,88.75 $\pm$ 0.14,90.53 $\pm$ 0.86,93.91 $ \pm$ 0.12,96.09 $ \pm$ 0.99, 82.50 $ \pm$ 0.23, 86.05 $ \pm$ 1.11, 89.60 $ \pm$ 0.18, 89.69 $ \pm$ 0.96, 80.89 $\pm$0.10, 87.61 $\pm$0.65,0.070 $\pm$0.000 ,0.060 $\pm$0.002 , 89.87 $\pm$0.07, 91.87 $\pm$0.71,0.018 $\pm$0.000,0.017 $\pm$0.002
6,Ni,34.98,89.21 $\pm$ 0.13,91.30 $\pm$ 0.76,96.18 $ \pm$ 0.13,97.21 $ \pm$ 0.63, 83.56 $ \pm$ 0.19, 86.94 $ \pm$ 1.19, 88.06 $ \pm$ 0.15, 90.02 $ \pm$ 0.70, 62.85 $\pm$0.31, 77.69 $\pm$2.12,0.060 $\pm$0.000 ,0.050 $\pm$0.001 , 88.30 $\pm$0.10, 91.35 $\pm$1.20,0.016 $\pm$0.000,0.015 $\pm$0.002
7,Cu,34.78,88.89 $\pm$ 0.14,92.75 $\pm$ 0.88,90.90 $ \pm$ 0.17,94.47 $ \pm$ 0.70, 84.98 $ \pm$ 0.18, 89.68 $ \pm$ 1.21, 91.25 $ \pm$ 0.12, 94.21 $ \pm$ 0.83, 75.65 $\pm$0.14, 89.83 $\pm$0.46,0.080 $\pm$0.000 ,0.050 $\pm$0.001 , 61.36 $\pm$0.20, 67.00 $\pm$1.55,0.053 $\pm$0.000,0.049 $\pm$0.003
8,'Avgs.',34.67, 88.28, 90.88, 94.4, 96.58, 82.37, 86.7, 88.16, 89.64, 77.37, 85.33, 0.07, 0.06, 85.73, 89.35, 0.02, 0.02
