,NN-Material,NN- Coord Baseline,RF- Coord Acc.,NN- Coord Acc.,RF- Coord F1 (4),NN- Coord F1 (4),RF- Coord F1 (5),NN- Coord F1 (5),RF- Coord F1 (6),NN- Coord F1 (6),RF- Bader $R^2$,NN- Bader $R^2$,RF- Bader MAE,NN- Bader MAE,RF- Mean NN $R^2$,NN- Mean NN $R^2$,RF- Mean NN-MAE,NN- Mean NN-MAE
0,Ti,52.12,91.15 $\pm$ 0.59,89.29 $\pm$ 1.19,97.86 $ \pm$ 0.62,96.53 $ \pm$ 0.93, 86.81 $ \pm$ 0.86, 84.29 $ \pm$ 1.66, 89.12 $ \pm$ 0.84, 87.35 $ \pm$ 2.02, 63.85 $\pm$3.74, 61.39 $\pm$7.38,0.060 $\pm$0.003 ,0.070 $\pm$0.004 , 73.82 $\pm$4.69, 68.39 $\pm$15.41,0.015 $\pm$0.001,0.016 $\pm$0.003
1,V,35.6,88.12 $\pm$ 0.82,86.19 $\pm$ 0.74,95.51 $ \pm$ 0.60,94.83 $ \pm$ 0.83, 81.56 $ \pm$ 1.29, 79.37 $ \pm$ 1.19, 87.00 $ \pm$ 1.14, 84.34 $ \pm$ 1.39, 82.91 $\pm$1.25, 81.24 $\pm$1.14,0.070 $\pm$0.003 ,0.080 $\pm$0.003 , 93.18 $\pm$1.30, 93.75 $\pm$1.24,0.014 $\pm$0.001,0.014 $\pm$0.001
2,Cr,54.98,94.40 $\pm$ 0.85,91.73 $\pm$ 1.47,99.26 $ \pm$ 0.43,98.84 $ \pm$ 0.82, 91.69 $ \pm$ 1.34, 88.09 $ \pm$ 2.23, 92.44 $ \pm$ 1.13, 88.53 $ \pm$ 2.21, 84.30 $\pm$2.64, 80.26 $\pm$3.60,0.070 $\pm$0.003 ,0.070 $\pm$0.005 , 91.32 $\pm$2.69, 87.60 $\pm$4.10,0.020 $\pm$0.002,0.030 $\pm$0.006
3,Mn,48.79,89.01 $\pm$ 0.67,86.27 $\pm$ 1.13,98.87 $ \pm$ 0.31,97.80 $ \pm$ 0.75, 84.08 $ \pm$ 0.91, 79.71 $ \pm$ 2.10, 84.87 $ \pm$ 1.08, 81.97 $ \pm$ 1.71, 83.83 $\pm$1.81, 84.75 $\pm$5.17,0.060 $\pm$0.002 ,0.060 $\pm$0.003 , 90.86 $\pm$1.17, 90.47 $\pm$2.08,0.017 $\pm$0.000,0.017 $\pm$0.002
4,Fe,43.09,90.41 $\pm$ 0.56,86.05 $\pm$ 2.02,96.28 $ \pm$ 0.65,92.77 $ \pm$ 1.07, 85.62 $ \pm$ 1.09, 79.50 $ \pm$ 2.27, 89.55 $ \pm$ 0.67, 86.02 $ \pm$ 3.39, 76.18 $\pm$2.07, 74.13 $\pm$2.77,0.100 $\pm$0.002 ,0.100 $\pm$0.003 , 87.21 $\pm$1.92, 86.20 $\pm$3.41,0.016 $\pm$0.001,0.018 $\pm$0.005
5,Co,53.55,92.34 $\pm$ 0.88,88.67 $\pm$ 1.14,97.05 $ \pm$ 0.78,95.63 $ \pm$ 0.87, 88.42 $ \pm$ 1.33, 83.21 $ \pm$ 1.94, 91.64 $ \pm$ 1.07, 87.41 $ \pm$ 1.42, 76.60 $\pm$4.90, 75.94 $\pm$6.01,0.070 $\pm$0.004 ,0.070 $\pm$0.005 , 87.94 $\pm$3.41, 81.89 $\pm$5.19,0.018 $\pm$0.002,0.024 $\pm$0.004
6,Ni,61.72,94.13 $\pm$ 0.77,89.71 $\pm$ 1.77,99.25 $ \pm$ 0.33,97.05 $ \pm$ 1.48, 91.34 $ \pm$ 1.23, 84.71 $ \pm$ 2.34, 92.20 $ \pm$ 0.99, 87.76 $ \pm$ 1.90, 52.67 $\pm$6.11, 46.26 $\pm$11.13,0.060 $\pm$0.003 ,0.070 $\pm$0.004 , 86.59 $\pm$5.34, 83.92 $\pm$4.06,0.015 $\pm$0.001,0.021 $\pm$0.003
7,Cu,63.82,95.60 $\pm$ 0.67,91.15 $\pm$ 2.32,96.83 $ \pm$ 0.79,93.01 $ \pm$ 2.78, 93.50 $ \pm$ 1.00, 87.06 $ \pm$ 2.87, 96.51 $ \pm$ 0.52, 93.41 $ \pm$ 1.62, 72.19 $\pm$3.05, 76.80 $\pm$3.27,0.080 $\pm$0.005 ,0.070 $\pm$0.004 , 57.16 $\pm$3.88, 41.51 $\pm$21.09,0.054 $\pm$0.002,0.062 $\pm$0.004
8,'Avgs.',51.71, 91.89, 88.63, 97.61, 95.81, 87.88, 83.24, 90.42, 87.1, 74.07, 72.6, 0.07, 0.07, 83.51, 79.22, 0.02, 0.03
