Material, Coord Baseline, Coord Acc., Coord F1 (4), Coord F1 (5), Coord F1 (6), Bader $R^2$, Bader MAE, Mean NN $R^2$, Mean NN-MAE
Ti,52.12,91.15 $\pm$ 0.59,97.86 $ \pm$ 0.62, 86.81 $ \pm$ 0.86, 89.12 $ \pm$ 0.84, 63.85 $\pm$3.74,0.060 $\pm$0.003 , 73.82 $\pm$4.69,0.015 $\pm$0.001
V,35.60,88.12 $\pm$ 0.82,95.51 $ \pm$ 0.60, 81.56 $ \pm$ 1.29, 87.00 $ \pm$ 1.14, 82.91 $\pm$1.25,0.070 $\pm$0.003 , 93.18 $\pm$1.30,0.014 $\pm$0.001
Cr,54.98,94.40 $\pm$ 0.85,99.26 $ \pm$ 0.43, 91.69 $ \pm$ 1.34, 92.44 $ \pm$ 1.13, 84.30 $\pm$2.64,0.070 $\pm$0.003 , 91.32 $\pm$2.69,0.020 $\pm$0.002
Mn,48.79,89.01 $\pm$ 0.67,98.87 $ \pm$ 0.31, 84.08 $ \pm$ 0.91, 84.87 $ \pm$ 1.08, 83.83 $\pm$1.81,0.060 $\pm$0.002 , 90.86 $\pm$1.17,0.017 $\pm$0.000
Fe,43.09,90.41 $\pm$ 0.56,96.28 $ \pm$ 0.65, 85.62 $ \pm$ 1.09, 89.55 $ \pm$ 0.67, 76.18 $\pm$2.07,0.100 $\pm$0.002 , 87.21 $\pm$1.92,0.016 $\pm$0.001
Co,53.55,92.34 $\pm$ 0.88,97.05 $ \pm$ 0.78, 88.42 $ \pm$ 1.33, 91.64 $ \pm$ 1.07, 76.60 $\pm$4.90,0.070 $\pm$0.004 , 87.94 $\pm$3.41,0.018 $\pm$0.002
Ni,61.72,94.13 $\pm$ 0.77,99.25 $ \pm$ 0.33, 91.34 $ \pm$ 1.23, 92.20 $ \pm$ 0.99, 52.67 $\pm$6.11,0.060 $\pm$0.003 , 86.59 $\pm$5.34,0.015 $\pm$0.001
Cu,63.82,95.60 $\pm$ 0.67,96.83 $ \pm$ 0.79, 93.50 $ \pm$ 1.00, 96.51 $ \pm$ 0.52, 72.19 $\pm$3.05,0.080 $\pm$0.005 , 57.16 $\pm$3.88,0.054 $\pm$0.002
'Avgs.', 51.71, 91.89, 97.61, 87.88, 90.42, 74.07, 0.07, 83.51, 0.02
