Material, Coord Baseline, Coord Acc., Coord F1 (4), Coord F1 (5), Coord F1 (6), Bader $R^2$, Bader MAE, Mean NN $R^2$, Mean NN-MAE
Ti,34.43,91.76 $\pm$ 0.63,97.30 $ \pm$ 0.65, 88.04 $ \pm$ 0.86, 90.19 $ \pm$ 0.53, 74.40 $\pm$1.37,0.060 $\pm$0.002 , 88.40 $\pm$1.18,0.012 $\pm$0.001
V,34.35,89.19 $\pm$ 0.60,96.57 $ \pm$ 0.29, 84.18 $ \pm$ 0.83, 87.06 $ \pm$ 0.92, 88.04 $\pm$0.59,0.060 $\pm$0.002 , 96.77 $\pm$0.20,0.012 $\pm$0.000
Cr,34.93,93.63 $\pm$ 1.90,99.07 $ \pm$ 0.72, 90.32 $ \pm$ 2.66, 91.61 $ \pm$ 2.37, 92.34 $\pm$0.61,0.050 $\pm$0.002 , 95.27 $\pm$0.55,0.018 $\pm$0.002
Mn,34.54,89.27 $\pm$ 0.61,98.04 $ \pm$ 0.38, 84.69 $ \pm$ 0.66, 85.86 $ \pm$ 0.97, 90.65 $\pm$0.41,0.050 $\pm$0.001 , 93.75 $\pm$0.43,0.016 $\pm$0.001
Fe,35.20,88.62 $\pm$ 0.64,93.93 $ \pm$ 0.44, 83.69 $ \pm$ 0.83, 88.49 $ \pm$ 0.94, 82.06 $\pm$1.90,0.080 $\pm$0.003 , 90.39 $\pm$0.63,0.015 $\pm$0.001
Co,34.19,90.53 $\pm$ 0.86,96.09 $ \pm$ 0.99, 86.05 $ \pm$ 1.11, 89.69 $ \pm$ 0.96, 87.61 $\pm$0.65,0.060 $\pm$0.002 , 91.87 $\pm$0.71,0.017 $\pm$0.002
Ni,34.98,91.30 $\pm$ 0.76,97.21 $ \pm$ 0.63, 86.94 $ \pm$ 1.19, 90.02 $ \pm$ 0.70, 77.69 $\pm$2.12,0.050 $\pm$0.001 , 91.35 $\pm$1.20,0.015 $\pm$0.002
Cu,34.78,92.75 $\pm$ 0.88,94.47 $ \pm$ 0.70, 89.68 $ \pm$ 1.21, 94.21 $ \pm$ 0.83, 89.83 $\pm$0.46,0.050 $\pm$0.001 , 67.00 $\pm$1.55,0.049 $\pm$0.003
'Avgs.', 34.67, 90.88, 96.58, 86.7, 89.64, 85.33, 0.06, 89.35, 0.02
