,Material,P-Value Acc,P-Value F4,P-Value F5,P-Value F6,P-Value B R2,P-Value B MAE,P-Value MD R2,P-Value MD MAE
0,Ti,1.9073486328125e-06,1.9073486328125e-06,1.9073486328125e-06,1.9073486328125e-06,1.9073486328125e-06,1.9073486328125e-06,1.9073486328125e-06,1.9073486328125e-06
1,V,1.9073486328125e-06,1.9073486328125e-06,1.9073486328125e-06,0.000133514404296875,1.9073486328125e-06,1.9073486328125e-06,1.9073486328125e-06,1.9073486328125e-06
2,Cr,0.0007076263427734375,9.5367431640625e-06,2.6702880859375e-05,0.000850677490234375,1.9073486328125e-06,1.9073486328125e-06,1.9073486328125e-06,0.0005855560302734375
3,Mn,1.9073486328125e-06,1.9073486328125e-06,1.9073486328125e-06,0.000850677490234375,1.9073486328125e-06,1.9073486328125e-06,1.9073486328125e-06,1.9073486328125e-05
4,Fe,1.9073486328125e-06,1.9073486328125e-06,1.9073486328125e-06,0.001209259033203125,0.0003223419189453125,1.9073486328125e-06,1.9073486328125e-06,1.33514404296875e-05
5,Co,3.814697265625e-06,5.7220458984375e-06,1.9073486328125e-06,0.7561664581298828,1.9073486328125e-06,1.9073486328125e-06,3.814697265625e-06,0.002712249755859375
6,Ni,1.9073486328125e-06,1.9073486328125e-05,1.9073486328125e-06,1.9073486328125e-06,1.9073486328125e-06,1.9073486328125e-06,1.9073486328125e-06,0.026641845703125
7,Cu,1.9073486328125e-06,1.9073486328125e-06,1.9073486328125e-06,1.9073486328125e-06,1.9073486328125e-06,1.9073486328125e-06,1.9073486328125e-06,9.5367431640625e-06
