Material, Coord Baseline, Coord Acc., Coord F1 (4), Coord F1 (5), Coord F1 (6), Bader $R^2$, Bader MAE, Mean NN $R^2$, Mean NN-MAE
Ti,34.43,90.41 $\pm$ 0.12,95.79 $ \pm$ 0.13, 85.46 $ \pm$ 0.20, 89.99 $ \pm$ 0.12, 70.29 $\pm$0.26,0.060 $\pm$0.000 , 83.35 $\pm$0.23,0.013 $\pm$0.000
V,34.35,89.36 $\pm$ 0.17,96.18 $ \pm$ 0.10, 83.52 $ \pm$ 0.28, 88.27 $ \pm$ 0.23, 87.68 $\pm$0.04,0.060 $\pm$0.000 , 95.78 $\pm$0.02,0.013 $\pm$0.000
Cr,34.93,93.09 $\pm$ 0.13,98.39 $ \pm$ 0.08, 89.19 $ \pm$ 0.19, 91.70 $ \pm$ 0.18, 89.41 $\pm$0.09,0.050 $\pm$0.000 , 93.02 $\pm$0.11,0.018 $\pm$0.000
Mn,34.54,89.46 $\pm$ 0.08,97.22 $ \pm$ 0.06, 84.79 $ \pm$ 0.13, 87.05 $ \pm$ 0.10, 87.03 $\pm$0.11,0.050 $\pm$0.000 , 92.98 $\pm$0.03,0.016 $\pm$0.000
Fe,35.20,88.56 $\pm$ 0.12,93.18 $ \pm$ 0.12, 83.17 $ \pm$ 0.20, 89.41 $ \pm$ 0.16, 80.95 $\pm$0.07,0.090 $\pm$0.000 , 88.30 $\pm$0.06,0.016 $\pm$0.000
Co,34.19,90.83 $\pm$ 0.15,95.52 $ \pm$ 0.12, 85.93 $ \pm$ 0.24, 90.98 $ \pm$ 0.22, 83.41 $\pm$0.12,0.060 $\pm$0.000 , 91.18 $\pm$0.03,0.017 $\pm$0.000
Ni,34.98,91.89 $\pm$ 0.11,97.46 $ \pm$ 0.07, 87.68 $ \pm$ 0.19, 90.69 $ \pm$ 0.14, 68.37 $\pm$0.32,0.060 $\pm$0.000 , 89.78 $\pm$0.09,0.014 $\pm$0.000
Cu,34.78,91.83 $\pm$ 0.13,93.47 $ \pm$ 0.12, 88.76 $ \pm$ 0.19, 93.54 $ \pm$ 0.10, 78.89 $\pm$0.16,0.070 $\pm$0.000 , 66.25 $\pm$0.16,0.049 $\pm$0.000
'Avgs.', 34.67, 90.68, 95.9, 86.06, 90.2, 80.75, 0.06, 87.58, 0.02
