,NN-Material,NN- Coord Baseline,RF- Coord Acc.,NN- Coord Acc.,RF- Coord F1 (4),NN- Coord F1 (4),RF- Coord F1 (5),NN- Coord F1 (5),RF- Coord F1 (6),NN- Coord F1 (6),RF- Bader $R^2$,NN- Bader $R^2$,RF- Bader MAE,NN- Bader MAE,RF- Mean NN $R^2$,NN- Mean NN $R^2$,RF- Mean NN-MAE,NN- Mean NN-MAE
0,Ti,52.12,81.38 $\pm$ 0.20,81.80 $\pm$ 0.84,72.19 $ \pm$ 0.62,75.75 $ \pm$ 2.38, 80.76 $ \pm$ 0.24, 82.02 $ \pm$ 0.94, 83.90 $ \pm$ 0.26, 82.62 $ \pm$ 1.11, 53.95 $\pm$0.68, 64.82 $\pm$1.77,0.070 $\pm$0.000 ,0.060 $\pm$0.002 , 80.92 $\pm$0.35, 84.07 $\pm$2.27,0.015 $\pm$0.000,0.013 $\pm$0.001
1,V,35.6,82.41 $\pm$ 0.21,82.54 $\pm$ 0.63,91.31 $ \pm$ 0.21,90.82 $ \pm$ 0.77, 73.70 $ \pm$ 0.36, 75.45 $ \pm$ 1.02, 82.85 $ \pm$ 0.22, 82.64 $ \pm$ 1.00, 82.97 $\pm$0.08, 81.63 $\pm$1.28,0.070 $\pm$0.000 ,0.080 $\pm$0.002 , 92.22 $\pm$0.07, 93.30 $\pm$0.76,0.015 $\pm$0.000,0.014 $\pm$0.001
2,Cr,54.98,88.48 $\pm$ 0.44,87.55 $\pm$ 1.15,96.92 $ \pm$ 0.42,96.91 $ \pm$ 1.02, 77.55 $ \pm$ 0.89, 76.03 $ \pm$ 2.06, 90.41 $ \pm$ 0.35, 89.50 $ \pm$ 1.11, 89.35 $\pm$0.14, 90.57 $\pm$0.85,0.070 $\pm$0.000 ,0.060 $\pm$0.003 , 89.61 $\pm$0.31, 89.43 $\pm$1.32,0.022 $\pm$0.000,0.022 $\pm$0.001
3,Mn,48.79,81.66 $\pm$ 0.28,81.02 $\pm$ 0.84,65.55 $ \pm$ 0.73,68.82 $ \pm$ 3.59, 80.70 $ \pm$ 0.29, 80.31 $ \pm$ 0.86, 84.22 $ \pm$ 0.30, 82.69 $ \pm$ 0.96, 87.29 $\pm$0.12, 88.61 $\pm$0.79,0.060 $\pm$0.000 ,0.050 $\pm$0.001 , 90.12 $\pm$0.10, 91.63 $\pm$0.89,0.018 $\pm$0.000,0.018 $\pm$0.001
4,Fe,43.09,83.90 $\pm$ 0.28,82.07 $\pm$ 0.81,86.07 $ \pm$ 0.59,84.17 $ \pm$ 1.45, 80.79 $ \pm$ 0.36, 79.19 $ \pm$ 1.11, 86.13 $ \pm$ 0.27, 84.19 $ \pm$ 0.82, 74.41 $\pm$0.20, 72.63 $\pm$1.80,0.100 $\pm$0.000 ,0.100 $\pm$0.002 , 85.90 $\pm$0.09, 88.09 $\pm$0.77,0.018 $\pm$0.000,0.017 $\pm$0.001
5,Co,53.55,80.94 $\pm$ 0.45,79.59 $\pm$ 1.55,80.37 $ \pm$ 0.41,82.95 $ \pm$ 1.66, 64.97 $ \pm$ 0.91, 65.20 $ \pm$ 2.52, 89.14 $ \pm$ 0.34, 86.36 $ \pm$ 1.32, 78.97 $\pm$0.33, 80.18 $\pm$1.43,0.080 $\pm$0.001 ,0.080 $\pm$0.002 , 84.72 $\pm$0.13, 81.61 $\pm$2.10,0.021 $\pm$0.000,0.021 $\pm$0.001
6,Ni,61.72,81.29 $\pm$ 0.42,80.30 $\pm$ 1.23,61.03 $ \pm$ 1.11,58.53 $ \pm$ 3.76, 70.06 $ \pm$ 0.79, 69.96 $ \pm$ 1.65, 89.46 $ \pm$ 0.23, 88.17 $ \pm$ 0.85, 47.50 $\pm$0.60, 45.01 $\pm$3.48,0.070 $\pm$0.000 ,0.060 $\pm$0.002 , 92.57 $\pm$0.12, 90.41 $\pm$1.87,0.016 $\pm$0.000,0.016 $\pm$0.002
7,Cu,63.82,83.42 $\pm$ 0.34,79.51 $\pm$ 1.01,74.96 $ \pm$ 0.62,65.40 $ \pm$ 2.22, 86.73 $ \pm$ 0.30, 83.95 $ \pm$ 0.90, 79.99 $ \pm$ 0.55, 76.64 $ \pm$ 1.33, 72.20 $\pm$0.31, 78.33 $\pm$1.83,0.080 $\pm$0.000 ,0.070 $\pm$0.002 , 60.05 $\pm$0.30, 55.98 $\pm$3.11,0.052 $\pm$0.000,0.053 $\pm$0.003
8,'Avgs.',51.71, 82.93, 81.8, 78.55, 77.92, 76.91, 76.51, 85.76, 84.1, 73.33, 75.22, 0.08, 0.07, 84.51, 84.31, 0.02, 0.02
