,NN-Material,NN- Coord Baseline,RF- Coord Acc.,NN- Coord Acc.,RF- Coord F1 (4),NN- Coord F1 (4),RF- Coord F1 (5),NN- Coord F1 (5),RF- Coord F1 (6),NN- Coord F1 (6),RF- Bader $R^2$,NN- Bader $R^2$,RF- Bader MAE,NN- Bader MAE,RF- Mean NN $R^2$,NN- Mean NN $R^2$,RF- Mean NN-MAE,NN- Mean NN-MAE
0,Ti,52.12,81.38 $\pm$ 0.20,82.04 $\pm$ 0.88,72.19 $ \pm$ 0.62,75.80 $ \pm$ 2.19, 80.76 $ \pm$ 0.24, 82.46 $ \pm$ 1.04, 83.90 $ \pm$ 0.26, 82.67 $ \pm$ 1.02, 53.95 $\pm$0.68, 64.14 $\pm$2.44,0.070 $\pm$0.000 ,0.060 $\pm$0.002 , 80.92 $\pm$0.35, 84.64 $\pm$2.05,0.015 $\pm$0.000,0.013 $\pm$0.001
1,V,35.6,82.41 $\pm$ 0.21,82.27 $\pm$ 0.76,91.31 $ \pm$ 0.21,90.88 $ \pm$ 0.72, 73.70 $ \pm$ 0.36, 75.40 $ \pm$ 1.06, 82.85 $ \pm$ 0.22, 81.99 $ \pm$ 1.04, 82.97 $\pm$0.08, 81.95 $\pm$1.21,0.070 $\pm$0.000 ,0.080 $\pm$0.002 , 92.22 $\pm$0.07, 92.83 $\pm$0.54,0.015 $\pm$0.000,0.014 $\pm$0.000
2,Cr,54.98,88.48 $\pm$ 0.44,87.24 $\pm$ 1.51,96.92 $ \pm$ 0.42,96.90 $ \pm$ 1.06, 77.55 $ \pm$ 0.89, 75.63 $ \pm$ 2.31, 90.41 $ \pm$ 0.35, 89.14 $ \pm$ 1.49, 89.35 $\pm$0.14, 90.80 $\pm$0.62,0.070 $\pm$0.000 ,0.060 $\pm$0.002 , 89.61 $\pm$0.31, 89.39 $\pm$1.26,0.022 $\pm$0.000,0.022 $\pm$0.001
3,Mn,48.79,81.66 $\pm$ 0.28,80.98 $\pm$ 0.94,65.55 $ \pm$ 0.73,69.13 $ \pm$ 3.17, 80.70 $ \pm$ 0.29, 80.23 $ \pm$ 1.21, 84.22 $ \pm$ 0.30, 82.65 $ \pm$ 0.84, 87.29 $\pm$0.12, 88.47 $\pm$0.81,0.060 $\pm$0.000 ,0.050 $\pm$0.001 , 90.12 $\pm$0.10, 91.55 $\pm$0.91,0.018 $\pm$0.000,0.017 $\pm$0.001
4,Fe,43.09,83.90 $\pm$ 0.28,82.45 $\pm$ 0.83,86.07 $ \pm$ 0.59,84.53 $ \pm$ 1.46, 80.79 $ \pm$ 0.36, 79.57 $ \pm$ 1.13, 86.13 $ \pm$ 0.27, 84.56 $ \pm$ 1.03, 74.41 $\pm$0.20, 73.58 $\pm$1.47,0.100 $\pm$0.000 ,0.100 $\pm$0.003 , 85.90 $\pm$0.09, 88.22 $\pm$0.76,0.018 $\pm$0.000,0.017 $\pm$0.001
5,Co,53.55,80.94 $\pm$ 0.45,80.09 $\pm$ 1.25,80.37 $ \pm$ 0.41,82.94 $ \pm$ 1.87, 64.97 $ \pm$ 0.91, 66.15 $ \pm$ 1.81, 89.14 $ \pm$ 0.34, 86.79 $ \pm$ 1.17, 78.97 $\pm$0.33, 80.36 $\pm$1.18,0.080 $\pm$0.001 ,0.070 $\pm$0.002 , 84.72 $\pm$0.13, 82.05 $\pm$1.97,0.021 $\pm$0.000,0.021 $\pm$0.001
6,Ni,61.72,81.29 $\pm$ 0.42,79.96 $\pm$ 1.65,61.03 $ \pm$ 1.11,59.02 $ \pm$ 2.51, 70.06 $ \pm$ 0.79, 69.02 $ \pm$ 2.57, 89.46 $ \pm$ 0.23, 87.95 $ \pm$ 1.41, 47.50 $\pm$0.60, 46.36 $\pm$4.97,0.070 $\pm$0.000 ,0.060 $\pm$0.002 , 92.57 $\pm$0.12, 90.33 $\pm$1.91,0.016 $\pm$0.000,0.016 $\pm$0.001
7,Cu,63.82,83.42 $\pm$ 0.34,79.96 $\pm$ 1.58,74.96 $ \pm$ 0.62,66.46 $ \pm$ 3.38, 86.73 $ \pm$ 0.30, 84.29 $ \pm$ 1.33, 79.99 $ \pm$ 0.55, 77.28 $ \pm$ 2.00, 72.20 $\pm$0.31, 79.68 $\pm$1.32,0.080 $\pm$0.000 ,0.060 $\pm$0.002 , 60.05 $\pm$0.30, 55.34 $\pm$3.10,0.052 $\pm$0.000,0.054 $\pm$0.003
8,'Avgs.',51.71, 82.93, 81.87, 78.55, 78.21, 76.91, 76.59, 85.76, 84.13, 73.33, 75.67, 0.08, 0.07, 84.51, 84.29, 0.02, 0.02
