,NN-Material,NN- Coord Baseline,RF- Coord Acc.,NN- Coord Acc.,RF- Coord F1 (4),NN- Coord F1 (4),RF- Coord F1 (5),NN- Coord F1 (5),RF- Coord F1 (6),NN- Coord F1 (6),RF- Bader $R^2$,NN- Bader $R^2$,RF- Bader MAE,NN- Bader MAE,RF- Mean NN $R^2$,NN- Mean NN $R^2$,RF- Mean NN-MAE,NN- Mean NN-MAE
0,Ti,52.12,82.02 $\pm$ 0.25,81.97 $\pm$ 1.02,76.53 $ \pm$ 0.58,78.16 $ \pm$ 3.21, 81.71 $ \pm$ 0.30, 82.62 $ \pm$ 1.16, 83.43 $ \pm$ 0.23, 81.79 $ \pm$ 1.30, 56.38 $\pm$0.37, 66.31 $\pm$2.81,0.060 $\pm$0.000 ,0.060 $\pm$0.003 , 82.85 $\pm$0.32, 86.22 $\pm$2.07,0.014 $\pm$0.000,0.012 $\pm$0.001
1,V,35.6,83.72 $\pm$ 0.28,82.42 $\pm$ 0.96,91.84 $ \pm$ 0.14,91.17 $ \pm$ 0.66, 75.87 $ \pm$ 0.41, 75.61 $ \pm$ 1.28, 84.11 $ \pm$ 0.37, 81.88 $ \pm$ 1.16, 83.94 $\pm$0.12, 83.05 $\pm$0.78,0.070 $\pm$0.000 ,0.070 $\pm$0.001 , 92.73 $\pm$0.07, 92.99 $\pm$0.71,0.014 $\pm$0.000,0.014 $\pm$0.000
2,Cr,54.98,88.42 $\pm$ 0.32,87.57 $\pm$ 1.03,96.66 $ \pm$ 0.44,96.25 $ \pm$ 0.94, 77.84 $ \pm$ 0.45, 76.14 $ \pm$ 1.78, 90.28 $ \pm$ 0.29, 89.81 $ \pm$ 1.03, 90.18 $\pm$0.11, 91.14 $\pm$0.76,0.060 $\pm$0.000 ,0.060 $\pm$0.002 , 90.14 $\pm$0.08, 88.79 $\pm$1.20,0.021 $\pm$0.000,0.022 $\pm$0.002
3,Mn,48.79,82.66 $\pm$ 0.23,81.17 $\pm$ 1.18,69.31 $ \pm$ 0.72,66.72 $ \pm$ 4.79, 82.09 $ \pm$ 0.24, 80.53 $ \pm$ 1.44, 84.43 $ \pm$ 0.24, 82.86 $ \pm$ 1.00, 88.92 $\pm$0.10, 89.90 $\pm$0.28,0.050 $\pm$0.000 ,0.050 $\pm$0.001 , 90.57 $\pm$0.09, 92.29 $\pm$0.82,0.017 $\pm$0.000,0.017 $\pm$0.001
4,Fe,43.09,83.67 $\pm$ 0.20,81.06 $\pm$ 0.92,86.79 $ \pm$ 0.41,83.12 $ \pm$ 2.20, 80.64 $ \pm$ 0.23, 78.16 $ \pm$ 1.09, 85.44 $ \pm$ 0.23, 83.28 $ \pm$ 1.12, 75.63 $\pm$0.11, 76.13 $\pm$2.66,0.100 $\pm$0.000 ,0.090 $\pm$0.003 , 86.53 $\pm$0.18, 88.29 $\pm$0.54,0.017 $\pm$0.000,0.016 $\pm$0.001
5,Co,53.55,81.72 $\pm$ 0.44,79.90 $\pm$ 1.24,82.91 $ \pm$ 0.39,84.05 $ \pm$ 1.68, 65.57 $ \pm$ 0.95, 64.49 $ \pm$ 1.86, 89.14 $ \pm$ 0.37, 86.56 $ \pm$ 1.51, 79.02 $\pm$0.23, 82.23 $\pm$0.91,0.080 $\pm$0.000 ,0.070 $\pm$0.002 , 85.29 $\pm$0.22, 82.45 $\pm$1.88,0.020 $\pm$0.000,0.020 $\pm$0.001
6,Ni,61.72,80.82 $\pm$ 0.37,80.44 $\pm$ 1.63,57.33 $ \pm$ 0.63,59.64 $ \pm$ 3.76, 69.25 $ \pm$ 0.64, 69.85 $ \pm$ 2.33, 89.41 $ \pm$ 0.28, 88.29 $ \pm$ 1.11, 50.13 $\pm$0.41, 49.85 $\pm$5.60,0.060 $\pm$0.000 ,0.060 $\pm$0.002 , 92.96 $\pm$0.18, 90.52 $\pm$1.43,0.015 $\pm$0.000,0.016 $\pm$0.001
7,Cu,63.82,84.02 $\pm$ 0.47,79.58 $\pm$ 1.67,77.72 $ \pm$ 0.70,65.07 $ \pm$ 3.03, 87.28 $ \pm$ 0.40, 84.04 $ \pm$ 1.49, 79.06 $ \pm$ 0.50, 77.18 $ \pm$ 2.05, 72.50 $\pm$0.35, 79.02 $\pm$2.01,0.070 $\pm$0.001 ,0.060 $\pm$0.002 , 61.22 $\pm$0.20, 57.72 $\pm$3.34,0.051 $\pm$0.000,0.051 $\pm$0.003
8,'Avgs.',51.71, 83.38, 81.76, 79.89, 78.02, 77.53, 76.43, 85.66, 83.96, 74.59, 77.2, 0.07, 0.06, 85.29, 84.91, 0.02, 0.02
