,Material,P-Value Acc,P-Value F4,P-Value F5,P-Value F6,P-Value B R2,P-Value B MAE,P-Value MD R2,P-Value MD MAE
0,Ti,8.857457687863547e-05,8.857457687863547e-05,8.857457687863547e-05,8.857457687863547e-05,8.857457687863547e-05,8.857457687863547e-05,0.00010334649564653764,0.45527280991543384
1,V,8.857457687863547e-05,8.857457687863547e-05,8.857457687863547e-05,8.857457687863547e-05,8.857457687863547e-05,8.857457687863547e-05,8.857457687863547e-05,0.23222559205012872
2,Cr,8.857457687863547e-05,8.857457687863547e-05,8.857457687863547e-05,8.857457687863547e-05,8.857457687863547e-05,8.857457687863547e-05,0.00012042223841686183,0.1789561131984324
3,Mn,8.857457687863547e-05,8.857457687863547e-05,8.857457687863547e-05,8.857457687863547e-05,8.857457687863547e-05,8.857457687863547e-05,8.857457687863547e-05,0.6012127057398096
4,Fe,8.857457687863547e-05,8.857457687863547e-05,8.857457687863547e-05,8.857457687863547e-05,8.857457687863547e-05,8.857457687863547e-05,8.857457687863547e-05,0.8227604017844778
5,Co,8.857457687863547e-05,8.857457687863547e-05,8.857457687863547e-05,8.857457687863547e-05,8.857457687863547e-05,8.857457687863547e-05,0.0001401336206158955,0.5754862281364963
6,Ni,8.857457687863547e-05,8.857457687863547e-05,8.857457687863547e-05,8.857457687863547e-05,8.857457687863547e-05,8.857457687863547e-05,0.015240061183200121,0.0015072868413933233
7,Cu,8.857457687863547e-05,8.857457687863547e-05,8.857457687863547e-05,8.857457687863547e-05,8.857457687863547e-05,8.857457687863547e-05,8.857457687863547e-05,8.857457687863547e-05
