Material, Coord Baseline, Coord Acc., Coord F1 (4), Coord F1 (5), Coord F1 (6), Bader $R^2$, Bader MAE, Mean NN $R^2$, Mean NN-MAE
Ti,36.38,33.01 $\pm$ 0.40,31.51 $ \pm$ 0.95, 35.00 $ \pm$ 1.59, 31.94 $ \pm$ 2.59, -1462.25 $\pm$1060.11,0.130 $\pm$0.004 , -8.02 $\pm$2.60,0.048 $\pm$0.002
V,34.47,33.95 $\pm$ 0.70,32.46 $ \pm$ 2.03, 34.87 $ \pm$ 0.96, 34.29 $ \pm$ 0.77, -963.24 $\pm$685.99,0.210 $\pm$0.002 , -5.41 $\pm$1.83,0.090 $\pm$0.001
Cr,34.07,32.36 $\pm$ 0.70,32.28 $ \pm$ 1.17, 29.91 $ \pm$ 0.39, 34.78 $ \pm$ 0.78, -932.04 $\pm$663.15,0.200 $\pm$0.005 , -24.55 $\pm$19.15,0.126 $\pm$0.018
Mn,35.05,34.37 $\pm$ 0.40,31.68 $ \pm$ 1.92, 36.39 $ \pm$ 3.91, 33.80 $ \pm$ 3.01, -1150.17 $\pm$815.26,0.190 $\pm$0.001 , -4.61 $\pm$2.39,0.094 $\pm$0.002
Fe,34.27,32.64 $\pm$ 0.61,32.08 $ \pm$ 0.07, 32.15 $ \pm$ 1.80, 33.52 $ \pm$ 0.53, -1868.39 $\pm$1316.03,0.210 $\pm$0.007 , -2.78 $\pm$0.97,0.075 $\pm$0.000
Co,33.67,33.98 $\pm$ 0.65,32.30 $ \pm$ 0.23, 28.40 $ \pm$ 3.36, 39.04 $ \pm$ 0.82, -1023.37 $\pm$776.00,0.160 $\pm$0.006 , -17.80 $\pm$14.99,0.093 $\pm$0.003
Ni,36.16,33.64 $\pm$ 0.09,29.34 $ \pm$ 2.41, 33.29 $ \pm$ 0.72, 37.30 $ \pm$ 2.25, -1148.51 $\pm$835.53,0.110 $\pm$0.001 , -7.48 $\pm$6.54,0.077 $\pm$0.001
Cu,34.39,33.94 $\pm$ 0.99,31.07 $ \pm$ 0.71, 33.93 $ \pm$ 1.88, 36.39 $ \pm$ 1.23, -310.80 $\pm$204.77,0.190 $\pm$0.005 , -8.96 $\pm$3.35,0.110 $\pm$0.001
'Avgs.', 34.81, 33.49, 31.59, 32.99, 35.13, -1107.35, 0.18, -9.95, 0.09
