Material, Coord Baseline, Coord Acc., Coord F1 (4), Coord F1 (5), Coord F1 (6), Bader $R^2$, Bader MAE, Mean NN $R^2$, Mean NN-MAE
Ti,34.43,95.64 $\pm$ 0.46,98.98 $ \pm$ 0.29, 93.81 $ \pm$ 0.61, 94.27 $ \pm$ 0.63, 85.70 $\pm$1.31,0.040 $\pm$0.002 , 91.51 $\pm$4.26,0.013 $\pm$0.004
V,34.35,94.71 $\pm$ 0.55,98.61 $ \pm$ 0.19, 92.49 $ \pm$ 0.70, 93.17 $ \pm$ 0.87, 93.48 $\pm$0.59,0.050 $\pm$0.002 , 97.19 $\pm$0.84,0.013 $\pm$0.002
Cr,34.93,97.89 $\pm$ 0.39,99.80 $ \pm$ 0.13, 96.82 $ \pm$ 0.58, 97.11 $ \pm$ 0.49, 95.02 $\pm$0.50,0.040 $\pm$0.002 , 97.47 $\pm$0.32,0.016 $\pm$0.002
Mn,34.54,93.77 $\pm$ 0.33,99.14 $ \pm$ 0.15, 91.25 $ \pm$ 0.36, 91.41 $ \pm$ 0.63, 94.57 $\pm$0.41,0.040 $\pm$0.002 , 95.17 $\pm$0.64,0.016 $\pm$0.001
Fe,35.20,93.22 $\pm$ 0.48,96.15 $ \pm$ 0.42, 90.32 $ \pm$ 0.71, 93.34 $ \pm$ 0.57, 90.06 $\pm$0.72,0.060 $\pm$0.003 , 92.70 $\pm$1.08,0.016 $\pm$0.002
Co,34.19,95.93 $\pm$ 0.77,99.12 $ \pm$ 0.19, 94.07 $ \pm$ 1.06, 94.75 $ \pm$ 1.20, 92.08 $\pm$0.87,0.040 $\pm$0.003 , 94.70 $\pm$0.79,0.017 $\pm$0.002
Ni,34.98,95.76 $\pm$ 0.37,99.17 $ \pm$ 0.26, 93.77 $ \pm$ 0.51, 94.57 $ \pm$ 0.58, 88.88 $\pm$0.98,0.040 $\pm$0.002 , 94.07 $\pm$0.92,0.014 $\pm$0.002
Cu,34.78,97.07 $\pm$ 0.61,97.44 $ \pm$ 0.69, 95.78 $ \pm$ 0.89, 98.06 $ \pm$ 0.38, 93.91 $\pm$0.98,0.040 $\pm$0.003 , 86.05 $\pm$2.09,0.033 $\pm$0.003
'Avgs.', 34.67, 95.5, 98.55, 93.54, 94.58, 91.71, 0.04, 93.61, 0.02
