Material, Coord Baseline, Coord Acc., Coord F1 (4), Coord F1 (5), Coord F1 (6), Bader $R^2$, Bader MAE, Mean NN $R^2$, Mean NN-MAE
Ti,34.43,90.41 $\pm$ 0.12,95.79 $ \pm$ 0.13, 85.46 $ \pm$ 0.20, 89.99 $ \pm$ 0.12, 70.49 $\pm$0.18,0.060 $\pm$0.000 , 83.13 $\pm$0.16,0.013 $\pm$0.000
V,34.35,89.23 $\pm$ 0.12,96.15 $ \pm$ 0.10, 83.28 $ \pm$ 0.20, 88.13 $ \pm$ 0.12, 87.77 $\pm$0.06,0.060 $\pm$0.000 , 95.89 $\pm$0.03,0.013 $\pm$0.000
Cr,34.93,93.01 $\pm$ 0.08,98.42 $ \pm$ 0.06, 89.06 $ \pm$ 0.16, 91.56 $ \pm$ 0.13, 89.70 $\pm$0.11,0.050 $\pm$0.000 , 93.20 $\pm$0.09,0.018 $\pm$0.000
Mn,34.54,89.49 $\pm$ 0.08,97.25 $ \pm$ 0.07, 84.82 $ \pm$ 0.13, 87.09 $ \pm$ 0.15, 87.10 $\pm$0.06,0.050 $\pm$0.000 , 93.00 $\pm$0.06,0.016 $\pm$0.000
Fe,35.20,88.56 $\pm$ 0.13,93.20 $ \pm$ 0.06, 83.09 $ \pm$ 0.17, 89.45 $ \pm$ 0.19, 80.85 $\pm$0.05,0.090 $\pm$0.000 , 88.03 $\pm$0.03,0.016 $\pm$0.000
Co,34.19,90.81 $\pm$ 0.14,95.49 $ \pm$ 0.08, 85.84 $ \pm$ 0.22, 91.01 $ \pm$ 0.24, 83.22 $\pm$0.12,0.060 $\pm$0.000 , 91.30 $\pm$0.06,0.017 $\pm$0.000
Ni,34.98,91.86 $\pm$ 0.16,97.48 $ \pm$ 0.08, 87.68 $ \pm$ 0.26, 90.61 $ \pm$ 0.18, 67.78 $\pm$0.13,0.060 $\pm$0.000 , 89.64 $\pm$0.16,0.014 $\pm$0.000
Cu,34.78,91.60 $\pm$ 0.11,93.26 $ \pm$ 0.12, 88.33 $ \pm$ 0.14, 93.50 $ \pm$ 0.10, 79.08 $\pm$0.10,0.070 $\pm$0.000 , 66.59 $\pm$0.21,0.049 $\pm$0.000
'Avgs.', 34.67, 90.62, 95.88, 85.94, 90.17, 80.75, 0.06, 87.6, 0.02
