,Material,P-Value Acc,P-Value F4,P-Value F5,P-Value F6,P-Value B R2,P-Value B MAE,P-Value MD R2,P-Value MD MAE
0,Ti,0.0004493369040712341,0.03515697309591544,0.0045499278703053396,0.0002931615477586367,0.01237422010582018,8.857457687863547e-05,0.0006806104529480628,0.9404809859004396
1,V,8.857457687863547e-05,0.02509350819808047,0.00039023125084089363,8.857457687863547e-05,0.10045796448967022,0.00021907963048002185,0.01374129035320903,0.008967599455194583
2,Cr,0.00010334649564653764,0.20967491728457333,0.00010334649564653764,8.857457687863547e-05,0.0045499278703053396,0.0001890120699314349,0.11688763780953301,0.001944297402789292
3,Mn,0.00010334649564653764,0.00010334649564653764,0.00010334649564653764,8.857457687863547e-05,0.0013245375247995077,0.6012127057398096,0.008967599455194583,0.0006806104529480628
4,Fe,8.857457687863547e-05,8.857457687863547e-05,8.857457687863547e-05,0.00010334649564653764,0.00803442885556667,0.1913338368695522,0.5502919421280152,0.0005934167947217433
5,Co,8.857457687863547e-05,0.008967599455194583,8.857457687863547e-05,8.857457687863547e-05,0.03334022025101753,0.00803442885556667,0.03334022025101753,8.857457687863547e-05
6,Ni,8.844915021211901e-05,0.00021367000439069728,8.857457687863547e-05,8.857457687863547e-05,0.04380372353657391,0.0001401336206158955,0.15600357596610903,8.857457687863547e-05
7,Cu,8.857457687863547e-05,8.857457687863547e-05,8.857457687863547e-05,8.857457687863547e-05,0.0007795932575314031,0.6012127057398096,0.07932167969676177,0.005111048721938279
