,NN-Material,NN- Coord Baseline,RF- Coord Acc.,NN- Coord Acc.,RF- Coord F1 (4),NN- Coord F1 (4),RF- Coord F1 (5),NN- Coord F1 (5),RF- Coord F1 (6),NN- Coord F1 (6),RF- Bader $R^2$,NN- Bader $R^2$,RF- Bader MAE,NN- Bader MAE,RF- Mean NN $R^2$,NN- Mean NN $R^2$,RF- Mean NN-MAE,NN- Mean NN-MAE
0,Ti,52.12,84.38 $\pm$ 0.26,83.17 $\pm$ 1.74,74.84 $ \pm$ 1.34,76.36 $ \pm$ 3.29, 84.51 $ \pm$ 0.29, 83.58 $ \pm$ 1.96, 85.86 $ \pm$ 0.32, 83.83 $ \pm$ 1.48, 55.35 $\pm$9.70, 55.35 $\pm$9.70,0.060 $\pm$0.001 ,0.140 $\pm$0.006 , 81.03 $\pm$0.62, 64.87 $\pm$26.30,0.014 $\pm$0.000,0.053 $\pm$0.005
1,V,35.6,83.90 $\pm$ 0.28,85.13 $\pm$ 1.41,92.00 $ \pm$ 0.25,92.28 $ \pm$ 0.66, 76.21 $ \pm$ 0.40, 79.01 $ \pm$ 1.95, 84.18 $ \pm$ 0.32, 85.14 $ \pm$ 1.86, 80.00 $\pm$3.33, 80.00 $\pm$3.33,0.070 $\pm$0.000 ,0.270 $\pm$0.006 , 92.87 $\pm$0.15, 90.99 $\pm$1.75,0.014 $\pm$0.000,0.117 $\pm$0.001
2,Cr,54.98,89.99 $\pm$ 0.73,85.01 $\pm$ 5.04,96.33 $ \pm$ 0.37,95.18 $ \pm$ 1.98, 80.42 $ \pm$ 1.34, 72.57 $ \pm$ 9.06, 92.11 $ \pm$ 0.67, 87.15 $ \pm$ 4.82, 85.49 $\pm$3.64, 85.49 $\pm$3.64,0.060 $\pm$0.001 ,0.280 $\pm$0.014 , 88.59 $\pm$0.31, 86.66 $\pm$7.40,0.021 $\pm$0.000,0.159 $\pm$0.008
3,Mn,48.79,84.19 $\pm$ 0.41,80.96 $\pm$ 1.10,51.31 $ \pm$ 1.98,61.72 $ \pm$ 6.48, 83.98 $ \pm$ 0.42, 79.27 $ \pm$ 1.55, 86.25 $ \pm$ 0.39, 83.71 $ \pm$ 1.06, 78.07 $\pm$29.56, 78.07 $\pm$29.56,0.050 $\pm$0.000 ,0.250 $\pm$0.017 , 91.09 $\pm$0.17, 89.91 $\pm$1.56,0.016 $\pm$0.000,0.130 $\pm$0.003
4,Fe,43.09,86.79 $\pm$ 0.32,83.82 $\pm$ 1.98,88.45 $ \pm$ 0.36,83.93 $ \pm$ 2.26, 85.10 $ \pm$ 0.37, 80.87 $ \pm$ 3.45, 87.97 $ \pm$ 0.42, 86.71 $ \pm$ 1.08, 71.09 $\pm$5.85, 71.09 $\pm$5.85,0.100 $\pm$0.001 ,0.260 $\pm$0.004 , 86.56 $\pm$0.22, 86.07 $\pm$1.74,0.016 $\pm$0.000,0.105 $\pm$0.003
5,Co,53.55,82.66 $\pm$ 0.62,81.29 $\pm$ 2.00,80.94 $ \pm$ 0.51,86.06 $ \pm$ 3.27, 68.09 $ \pm$ 1.38, 69.14 $ \pm$ 2.60, 90.44 $ \pm$ 0.45, 86.54 $ \pm$ 1.85, 76.54 $\pm$5.70, 76.54 $\pm$5.70,0.070 $\pm$0.001 ,0.220 $\pm$0.011 , 85.61 $\pm$0.18, 78.88 $\pm$4.87,0.019 $\pm$0.000,0.109 $\pm$0.005
6,Ni,61.72,84.61 $\pm$ 0.28,79.13 $\pm$ 2.51,66.67 $ \pm$ 0.00,64.62 $ \pm$ 3.78, 75.44 $ \pm$ 0.55, 67.68 $ \pm$ 3.78, 90.70 $ \pm$ 0.21, 86.65 $ \pm$ 2.04, 37.46 $\pm$4.44, 37.46 $\pm$4.44,0.060 $\pm$0.000 ,0.120 $\pm$0.006 , 93.17 $\pm$0.21, 86.96 $\pm$4.58,0.014 $\pm$0.000,0.097 $\pm$0.004
7,Cu,63.82,83.76 $\pm$ 0.46,79.61 $\pm$ 3.54,72.20 $ \pm$ 1.66,67.38 $ \pm$ 4.28, 87.75 $ \pm$ 0.35, 83.55 $ \pm$ 3.67, 78.24 $ \pm$ 0.45, 76.64 $ \pm$ 2.89, 71.66 $\pm$5.90, 71.66 $\pm$5.90,0.070 $\pm$0.001 ,0.210 $\pm$0.007 , 60.97 $\pm$0.61, 59.09 $\pm$2.51,0.050 $\pm$0.001,0.130 $\pm$0.006
8,'Avgs.',51.71, 85.04, 82.26, 77.84, 78.44, 80.19, 76.96, 86.97, 84.55, 69.46, 69.46, 0.07, 0.22, 84.99, 80.43, 0.02, 0.11
