Material, Coord Baseline, Coord Acc., Coord F1 (4), Coord F1 (5), Coord F1 (6), Bader $R^2$, Bader MAE, Mean NN $R^2$, Mean NN-MAE
Ti,34.43,91.63 $\pm$ 0.61,97.44 $ \pm$ 0.41, 87.73 $ \pm$ 0.92, 89.94 $ \pm$ 0.79, 74.60 $\pm$1.15,0.060 $\pm$0.002 , 88.84 $\pm$1.22,0.012 $\pm$0.001
V,34.35,89.16 $\pm$ 0.62,96.53 $ \pm$ 0.42, 84.07 $ \pm$ 1.02, 87.10 $ \pm$ 0.69, 88.17 $\pm$0.52,0.060 $\pm$0.001 , 96.71 $\pm$0.24,0.012 $\pm$0.001
Cr,34.93,93.91 $\pm$ 0.96,99.18 $ \pm$ 0.32, 90.70 $ \pm$ 1.48, 91.94 $ \pm$ 1.22, 92.11 $\pm$0.40,0.050 $\pm$0.001 , 95.31 $\pm$0.59,0.018 $\pm$0.002
Mn,34.54,89.68 $\pm$ 0.43,98.15 $ \pm$ 0.38, 85.13 $ \pm$ 0.63, 86.50 $ \pm$ 0.53, 90.68 $\pm$0.31,0.050 $\pm$0.001 , 93.86 $\pm$0.32,0.016 $\pm$0.001
Fe,35.20,88.37 $\pm$ 0.53,93.89 $ \pm$ 0.48, 83.19 $ \pm$ 1.01, 88.26 $ \pm$ 0.48, 82.31 $\pm$0.44,0.080 $\pm$0.001 , 90.31 $\pm$0.70,0.015 $\pm$0.001
Co,34.19,90.95 $\pm$ 0.78,96.34 $ \pm$ 0.54, 86.53 $ \pm$ 1.30, 90.16 $ \pm$ 0.66, 87.99 $\pm$0.24,0.050 $\pm$0.001 , 91.84 $\pm$0.63,0.017 $\pm$0.001
Ni,34.98,91.53 $\pm$ 0.74,97.25 $ \pm$ 0.41, 87.41 $ \pm$ 1.06, 90.22 $ \pm$ 1.03, 77.76 $\pm$1.59,0.050 $\pm$0.002 , 91.22 $\pm$0.80,0.015 $\pm$0.001
Cu,34.78,92.78 $\pm$ 0.88,94.51 $ \pm$ 1.12, 89.84 $ \pm$ 1.13, 94.12 $ \pm$ 0.62, 89.81 $\pm$0.45,0.050 $\pm$0.001 , 63.89 $\pm$14.74,0.051 $\pm$0.013
'Avgs.', 34.67, 91.0, 96.66, 86.82, 89.78, 85.43, 0.06, 89.0, 0.02
