Material, Coord Baseline, Coord Acc., Coord F1 (4), Coord F1 (5), Coord F1 (6), Bader $R^2$, Bader MAE, Mean NN $R^2$, Mean NN-MAE
Ti,52.12,92.87 $\pm$ 0.57,97.95 $ \pm$ 0.41, 89.99 $ \pm$ 0.73, 91.03 $ \pm$ 0.97, 80.75 $\pm$1.92,0.050 $\pm$0.003 , 89.85 $\pm$3.51,0.012 $\pm$0.001
V,35.60,90.48 $\pm$ 0.72,97.25 $ \pm$ 0.35, 86.50 $ \pm$ 0.89, 87.75 $ \pm$ 1.21, 90.83 $\pm$0.59,0.060 $\pm$0.002 , 96.75 $\pm$0.76,0.013 $\pm$0.002
Cr,54.98,95.59 $\pm$ 0.59,99.55 $ \pm$ 0.21, 93.51 $ \pm$ 0.82, 93.88 $ \pm$ 0.96, 93.48 $\pm$0.75,0.050 $\pm$0.003 , 97.17 $\pm$0.74,0.015 $\pm$0.002
Mn,48.79,90.37 $\pm$ 0.53,98.16 $ \pm$ 0.45, 86.43 $ \pm$ 0.68, 87.07 $ \pm$ 0.91, 92.14 $\pm$0.52,0.040 $\pm$0.001 , 95.10 $\pm$0.57,0.016 $\pm$0.001
Fe,43.09,90.34 $\pm$ 0.77,95.09 $ \pm$ 0.40, 85.96 $ \pm$ 0.96, 90.09 $ \pm$ 1.25, 86.02 $\pm$0.73,0.080 $\pm$0.002 , 92.89 $\pm$0.99,0.015 $\pm$0.001
Co,53.55,92.50 $\pm$ 0.92,97.02 $ \pm$ 0.50, 89.25 $ \pm$ 1.29, 91.48 $ \pm$ 1.19, 89.22 $\pm$2.17,0.050 $\pm$0.002 , 93.59 $\pm$1.01,0.017 $\pm$0.002
Ni,61.72,93.45 $\pm$ 0.52,98.28 $ \pm$ 0.38, 90.36 $ \pm$ 0.89, 91.97 $ \pm$ 0.53, 79.82 $\pm$1.97,0.050 $\pm$0.002 , 93.84 $\pm$1.29,0.015 $\pm$0.002
Cu,63.82,94.14 $\pm$ 0.57,95.05 $ \pm$ 0.81, 91.65 $ \pm$ 0.84, 95.83 $ \pm$ 0.37, 90.05 $\pm$0.84,0.050 $\pm$0.003 , 76.81 $\pm$3.25,0.040 $\pm$0.002
'Avgs.', 51.71, 92.47, 97.29, 89.21, 91.14, 87.79, 0.05, 92.0, 0.02
