Material, Coord Baseline, Coord Acc., Coord F1 (4), Coord F1 (5), Coord F1 (6), Bader $R^2$, Bader MAE, Mean NN $R^2$, Mean NN-MAE
Ti,52.12,89.29 $\pm$ 1.19,96.53 $ \pm$ 0.93, 84.29 $ \pm$ 1.66, 87.35 $ \pm$ 2.02, 61.39 $\pm$7.38,0.070 $\pm$0.004 , 68.39 $\pm$15.41,0.016 $\pm$0.003
V,35.60,86.19 $\pm$ 0.74,94.83 $ \pm$ 0.83, 79.37 $ \pm$ 1.19, 84.34 $ \pm$ 1.39, 81.24 $\pm$1.14,0.080 $\pm$0.003 , 93.75 $\pm$1.24,0.014 $\pm$0.001
Cr,54.98,91.73 $\pm$ 1.47,98.84 $ \pm$ 0.82, 88.09 $ \pm$ 2.23, 88.53 $ \pm$ 2.21, 80.26 $\pm$3.60,0.070 $\pm$0.005 , 87.60 $\pm$4.10,0.030 $\pm$0.006
Mn,48.79,86.27 $\pm$ 1.13,97.80 $ \pm$ 0.75, 79.71 $ \pm$ 2.10, 81.97 $ \pm$ 1.71, 84.75 $\pm$5.17,0.060 $\pm$0.003 , 90.47 $\pm$2.08,0.017 $\pm$0.002
Fe,43.09,86.05 $\pm$ 2.02,92.77 $ \pm$ 1.07, 79.50 $ \pm$ 2.27, 86.02 $ \pm$ 3.39, 74.13 $\pm$2.77,0.100 $\pm$0.003 , 86.20 $\pm$3.41,0.018 $\pm$0.005
Co,53.55,88.67 $\pm$ 1.14,95.63 $ \pm$ 0.87, 83.21 $ \pm$ 1.94, 87.41 $ \pm$ 1.42, 75.94 $\pm$6.01,0.070 $\pm$0.005 , 81.89 $\pm$5.19,0.024 $\pm$0.004
Ni,61.72,89.71 $\pm$ 1.77,97.05 $ \pm$ 1.48, 84.71 $ \pm$ 2.34, 87.76 $ \pm$ 1.90, 46.26 $\pm$11.13,0.070 $\pm$0.004 , 83.92 $\pm$4.06,0.021 $\pm$0.003
Cu,63.82,91.15 $\pm$ 2.32,93.01 $ \pm$ 2.78, 87.06 $ \pm$ 2.87, 93.41 $ \pm$ 1.62, 76.80 $\pm$3.27,0.070 $\pm$0.004 , 41.51 $\pm$21.09,0.062 $\pm$0.004
'Avgs.', 51.71, 88.63, 95.81, 83.24, 87.1, 72.6, 0.07, 79.22, 0.03
