,NN-Material,NN- Coord Baseline,RF- Coord Acc.,NN- Coord Acc.,RF- Coord F1 (4),NN- Coord F1 (4),RF- Coord F1 (5),NN- Coord F1 (5),RF- Coord F1 (6),NN- Coord F1 (6),RF- Bader $R^2$,NN- Bader $R^2$,RF- Bader MAE,NN- Bader MAE,RF- Mean NN $R^2$,NN- Mean NN $R^2$,RF- Mean NN-MAE,NN- Mean NN-MAE
0,Ti,52.12,88.29 $\pm$ 0.33,91.13 $\pm$ 0.67,94.29 $ \pm$ 0.51,97.03 $ \pm$ 0.47, 82.27 $ \pm$ 0.57, 87.54 $ \pm$ 0.75, 88.43 $ \pm$ 0.45, 89.23 $ \pm$ 1.17, 66.89 $\pm$2.40, 77.27 $\pm$3.03,0.060 $\pm$0.001 ,0.060 $\pm$0.004 , 78.71 $\pm$3.15, 88.18 $\pm$5.12,0.015 $\pm$0.001,0.013 $\pm$0.003
1,V,35.6,86.94 $\pm$ 0.54,87.87 $\pm$ 0.86,95.35 $ \pm$ 0.43,96.17 $ \pm$ 0.41, 79.25 $ \pm$ 0.89, 82.84 $ \pm$ 1.01, 85.72 $ \pm$ 0.66, 84.65 $ \pm$ 1.66, 85.41 $\pm$0.59, 89.04 $\pm$0.84,0.070 $\pm$0.001 ,0.060 $\pm$0.003 , 94.34 $\pm$0.70, 96.62 $\pm$0.50,0.015 $\pm$0.000,0.013 $\pm$0.002
2,Cr,54.98,91.15 $\pm$ 0.52,94.29 $\pm$ 0.80,97.94 $ \pm$ 0.22,99.24 $ \pm$ 0.19, 86.32 $ \pm$ 0.78, 91.64 $ \pm$ 1.22, 89.39 $ \pm$ 0.70, 92.20 $ \pm$ 1.04, 87.51 $\pm$0.89, 92.13 $\pm$0.79,0.060 $\pm$0.002 ,0.050 $\pm$0.003 , 93.41 $\pm$1.47, 96.84 $\pm$0.67,0.018 $\pm$0.001,0.016 $\pm$0.002
3,Mn,48.79,87.30 $\pm$ 0.28,88.39 $\pm$ 0.61,95.73 $ \pm$ 0.28,96.97 $ \pm$ 0.36, 81.43 $ \pm$ 0.33, 83.69 $ \pm$ 0.79, 85.31 $ \pm$ 0.39, 85.02 $ \pm$ 1.18, 84.85 $\pm$0.83, 90.56 $\pm$0.86,0.060 $\pm$0.001 ,0.050 $\pm$0.002 , 92.16 $\pm$0.54, 94.45 $\pm$1.06,0.017 $\pm$0.000,0.017 $\pm$0.002
4,Fe,43.09,86.82 $\pm$ 0.48,87.93 $\pm$ 1.27,92.70 $ \pm$ 0.43,93.66 $ \pm$ 0.46, 79.78 $ \pm$ 0.79, 82.58 $ \pm$ 1.46, 87.81 $ \pm$ 0.60, 87.68 $ \pm$ 2.04, 78.22 $\pm$1.05, 83.79 $\pm$0.87,0.100 $\pm$0.002 ,0.080 $\pm$0.002 , 88.71 $\pm$0.86, 92.97 $\pm$0.93,0.016 $\pm$0.000,0.015 $\pm$0.002
5,Co,53.55,89.29 $\pm$ 0.36,90.62 $\pm$ 0.80,94.09 $ \pm$ 0.33,95.77 $ \pm$ 0.45, 83.34 $ \pm$ 0.62, 86.48 $ \pm$ 1.18, 90.19 $ \pm$ 0.49, 89.82 $ \pm$ 1.18, 81.48 $\pm$2.34, 86.82 $\pm$2.87,0.070 $\pm$0.002 ,0.060 $\pm$0.003 , 89.94 $\pm$0.88, 92.85 $\pm$1.13,0.018 $\pm$0.001,0.017 $\pm$0.002
6,Ni,61.72,90.13 $\pm$ 0.45,91.28 $\pm$ 0.66,96.35 $ \pm$ 0.33,97.48 $ \pm$ 0.35, 84.96 $ \pm$ 0.67, 87.37 $ \pm$ 0.81, 89.18 $ \pm$ 0.74, 89.30 $ \pm$ 1.10, 62.75 $\pm$2.15, 75.52 $\pm$2.11,0.060 $\pm$0.001 ,0.050 $\pm$0.002 , 89.45 $\pm$2.02, 93.66 $\pm$0.94,0.015 $\pm$0.001,0.015 $\pm$0.001
7,Cu,63.82,89.23 $\pm$ 0.45,92.38 $\pm$ 1.00,90.74 $ \pm$ 0.51,93.80 $ \pm$ 0.81, 85.22 $ \pm$ 0.66, 89.23 $ \pm$ 1.47, 92.17 $ \pm$ 0.47, 94.27 $ \pm$ 1.11, 76.08 $\pm$0.97, 87.60 $\pm$1.06,0.080 $\pm$0.001 ,0.060 $\pm$0.002 , 62.31 $\pm$1.48, 72.88 $\pm$2.03,0.052 $\pm$0.001,0.044 $\pm$0.002
8,'Avgs.',51.71, 88.64, 90.49, 94.65, 96.26, 82.82, 86.42, 88.52, 89.02, 77.9, 85.34, 0.07, 0.06, 86.13, 91.06, 0.02, 0.02
