Material, Coord Baseline, Coord Acc., Coord F1 (4), Coord F1 (5), Coord F1 (6), Bader $R^2$, Bader MAE, Mean NN $R^2$, Mean NN-MAE
Ti,52.12,88.29 $\pm$ 0.33,94.29 $ \pm$ 0.51, 82.27 $ \pm$ 0.57, 88.43 $ \pm$ 0.45, 66.89 $\pm$2.40,0.060 $\pm$0.001 , 78.71 $\pm$3.15,0.015 $\pm$0.001
V,35.60,86.94 $\pm$ 0.54,95.35 $ \pm$ 0.43, 79.25 $ \pm$ 0.89, 85.72 $ \pm$ 0.66, 85.41 $\pm$0.59,0.070 $\pm$0.001 , 94.34 $\pm$0.70,0.015 $\pm$0.000
Cr,54.98,91.15 $\pm$ 0.52,97.94 $ \pm$ 0.22, 86.32 $ \pm$ 0.78, 89.39 $ \pm$ 0.70, 87.51 $\pm$0.89,0.060 $\pm$0.002 , 93.41 $\pm$1.47,0.018 $\pm$0.001
Mn,48.79,87.30 $\pm$ 0.28,95.73 $ \pm$ 0.28, 81.43 $ \pm$ 0.33, 85.31 $ \pm$ 0.39, 84.85 $\pm$0.83,0.060 $\pm$0.001 , 92.16 $\pm$0.54,0.017 $\pm$0.000
Fe,43.09,86.82 $\pm$ 0.48,92.70 $ \pm$ 0.43, 79.78 $ \pm$ 0.79, 87.81 $ \pm$ 0.60, 78.22 $\pm$1.05,0.100 $\pm$0.002 , 88.71 $\pm$0.86,0.016 $\pm$0.000
Co,53.55,89.29 $\pm$ 0.36,94.09 $ \pm$ 0.33, 83.34 $ \pm$ 0.62, 90.19 $ \pm$ 0.49, 81.48 $\pm$2.34,0.070 $\pm$0.002 , 89.94 $\pm$0.88,0.018 $\pm$0.001
Ni,61.72,90.13 $\pm$ 0.45,96.35 $ \pm$ 0.33, 84.96 $ \pm$ 0.67, 89.18 $ \pm$ 0.74, 62.75 $\pm$2.15,0.060 $\pm$0.001 , 89.45 $\pm$2.02,0.015 $\pm$0.001
Cu,63.82,89.23 $\pm$ 0.45,90.74 $ \pm$ 0.51, 85.22 $ \pm$ 0.66, 92.17 $ \pm$ 0.47, 76.08 $\pm$0.97,0.080 $\pm$0.001 , 62.31 $\pm$1.48,0.052 $\pm$0.001
'Avgs.', 51.71, 88.64, 94.65, 82.82, 88.52, 77.9, 0.07, 86.13, 0.02
