,NN-Material,NN- Coord Baseline,RF- Coord Acc.,NN- Coord Acc.,RF- Coord F1 (4),NN- Coord F1 (4),RF- Coord F1 (5),NN- Coord F1 (5),RF- Coord F1 (6),NN- Coord F1 (6),RF- Bader $R^2$,NN- Bader $R^2$,RF- Bader MAE,NN- Bader MAE,RF- Mean NN $R^2$,NN- Mean NN $R^2$,RF- Mean NN-MAE,NN- Mean NN-MAE
0,Ti,52.12,88.29 $\pm$ 0.33,92.16 $\pm$ 0.85,94.29 $ \pm$ 0.51,97.65 $ \pm$ 0.76, 82.27 $ \pm$ 0.57, 88.57 $ \pm$ 1.25, 88.43 $ \pm$ 0.45, 90.63 $ \pm$ 0.84, 66.89 $\pm$2.40, 79.47 $\pm$2.84,0.060 $\pm$0.001 ,0.050 $\pm$0.003 , 78.71 $\pm$3.15, 89.21 $\pm$4.72,0.015 $\pm$0.001,0.011 $\pm$0.001
1,V,35.6,86.94 $\pm$ 0.54,89.27 $\pm$ 0.61,95.35 $ \pm$ 0.43,96.41 $ \pm$ 0.42, 79.25 $ \pm$ 0.89, 84.02 $ \pm$ 1.17, 85.72 $ \pm$ 0.66, 87.39 $ \pm$ 0.92, 85.41 $\pm$0.59, 89.77 $\pm$0.59,0.070 $\pm$0.001 ,0.060 $\pm$0.001 , 94.34 $\pm$0.70, 96.58 $\pm$0.35,0.015 $\pm$0.000,0.012 $\pm$0.001
2,Cr,54.98,91.15 $\pm$ 0.52,94.89 $\pm$ 1.03,97.94 $ \pm$ 0.22,99.37 $ \pm$ 0.31, 86.32 $ \pm$ 0.78, 92.35 $ \pm$ 1.50, 89.39 $ \pm$ 0.70, 93.11 $ \pm$ 1.44, 87.51 $\pm$0.89, 93.19 $\pm$0.88,0.060 $\pm$0.002 ,0.050 $\pm$0.002 , 93.41 $\pm$1.47, 96.60 $\pm$0.65,0.018 $\pm$0.001,0.016 $\pm$0.001
3,Mn,48.79,87.30 $\pm$ 0.28,89.75 $\pm$ 0.63,95.73 $ \pm$ 0.28,98.11 $ \pm$ 0.60, 81.43 $ \pm$ 0.33, 85.04 $ \pm$ 1.08, 85.31 $ \pm$ 0.39, 86.78 $ \pm$ 0.54, 84.85 $\pm$0.83, 91.28 $\pm$0.70,0.060 $\pm$0.001 ,0.050 $\pm$0.002 , 92.16 $\pm$0.54, 94.61 $\pm$0.36,0.017 $\pm$0.000,0.015 $\pm$0.000
4,Fe,43.09,86.82 $\pm$ 0.48,89.33 $\pm$ 0.80,92.70 $ \pm$ 0.43,94.56 $ \pm$ 0.42, 79.78 $ \pm$ 0.79, 84.25 $ \pm$ 1.30, 87.81 $ \pm$ 0.60, 89.28 $ \pm$ 1.10, 78.22 $\pm$1.05, 83.48 $\pm$0.85,0.100 $\pm$0.002 ,0.080 $\pm$0.002 , 88.71 $\pm$0.86, 92.15 $\pm$1.74,0.016 $\pm$0.000,0.014 $\pm$0.001
5,Co,53.55,89.29 $\pm$ 0.36,91.91 $\pm$ 0.57,94.09 $ \pm$ 0.33,96.74 $ \pm$ 0.58, 83.34 $ \pm$ 0.62, 87.95 $ \pm$ 0.89, 90.19 $ \pm$ 0.49, 91.24 $ \pm$ 0.62, 81.48 $\pm$2.34, 89.16 $\pm$1.96,0.070 $\pm$0.002 ,0.050 $\pm$0.002 , 89.94 $\pm$0.88, 93.09 $\pm$1.19,0.018 $\pm$0.001,0.015 $\pm$0.001
6,Ni,61.72,90.13 $\pm$ 0.45,92.50 $\pm$ 0.90,96.35 $ \pm$ 0.33,97.76 $ \pm$ 0.69, 84.96 $ \pm$ 0.67, 88.89 $ \pm$ 1.27, 89.18 $ \pm$ 0.74, 91.13 $ \pm$ 0.94, 62.75 $\pm$2.15, 79.27 $\pm$3.07,0.060 $\pm$0.001 ,0.050 $\pm$0.003 , 89.45 $\pm$2.02, 92.50 $\pm$1.77,0.015 $\pm$0.001,0.014 $\pm$0.001
7,Cu,63.82,89.23 $\pm$ 0.45,93.17 $\pm$ 1.13,90.74 $ \pm$ 0.51,94.49 $ \pm$ 1.16, 85.22 $ \pm$ 0.66, 90.25 $ \pm$ 1.56, 92.17 $ \pm$ 0.47, 94.87 $ \pm$ 0.87, 76.08 $\pm$0.97, 89.80 $\pm$1.26,0.080 $\pm$0.001 ,0.050 $\pm$0.002 , 62.31 $\pm$1.48, 68.19 $\pm$3.55,0.052 $\pm$0.001,0.046 $\pm$0.003
8,'Avgs.',51.71, 88.64, 91.62, 94.65, 96.89, 82.82, 87.66, 88.52, 90.55, 77.9, 86.93, 0.07, 0.06, 86.13, 90.37, 0.02, 0.02
