Material, Coord Baseline, Coord Acc., Coord F1 (4), Coord F1 (5), Coord F1 (6), Bader $R^2$, Bader MAE, Mean NN $R^2$, Mean NN-MAE
Ti,52.12,81.70 $\pm$ 0.94,76.64 $ \pm$ 3.22, 82.11 $ \pm$ 1.02, 82.09 $ \pm$ 1.45, 64.46 $\pm$2.44,0.060 $\pm$0.002 , 84.60 $\pm$3.23,0.013 $\pm$0.001
V,35.60,82.24 $\pm$ 0.79,90.87 $ \pm$ 0.70, 75.02 $ \pm$ 1.47, 82.16 $ \pm$ 0.87, 81.88 $\pm$0.71,0.080 $\pm$0.002 , 92.85 $\pm$0.63,0.014 $\pm$0.001
Cr,54.98,87.08 $\pm$ 0.82,97.04 $ \pm$ 1.01, 74.98 $ \pm$ 1.76, 89.06 $ \pm$ 0.76, 90.68 $\pm$1.06,0.060 $\pm$0.003 , 88.31 $\pm$1.46,0.023 $\pm$0.002
Mn,48.79,81.47 $\pm$ 1.10,70.41 $ \pm$ 3.03, 80.53 $ \pm$ 1.57, 83.24 $ \pm$ 0.81, 88.16 $\pm$0.70,0.050 $\pm$0.002 , 91.79 $\pm$0.60,0.017 $\pm$0.001
Fe,43.09,82.75 $\pm$ 0.83,84.54 $ \pm$ 1.41, 80.13 $ \pm$ 1.09, 84.78 $ \pm$ 0.71, 73.17 $\pm$2.29,0.100 $\pm$0.002 , 88.06 $\pm$0.60,0.016 $\pm$0.000
Co,53.55,79.89 $\pm$ 1.19,82.33 $ \pm$ 1.67, 65.73 $ \pm$ 2.01, 86.84 $ \pm$ 1.05, 80.64 $\pm$1.42,0.070 $\pm$0.002 , 82.26 $\pm$1.62,0.020 $\pm$0.001
Ni,61.72,80.50 $\pm$ 1.17,59.00 $ \pm$ 3.40, 69.66 $ \pm$ 1.45, 88.39 $ \pm$ 0.92, 45.37 $\pm$4.72,0.060 $\pm$0.002 , 90.72 $\pm$1.59,0.016 $\pm$0.001
Cu,63.82,79.79 $\pm$ 1.45,65.59 $ \pm$ 1.93, 84.10 $ \pm$ 1.47, 77.48 $ \pm$ 1.48, 78.72 $\pm$1.93,0.070 $\pm$0.002 , 55.43 $\pm$3.09,0.053 $\pm$0.003
'Avgs.', 51.71, 81.93, 78.3, 76.53, 84.26, 75.38, 0.07, 84.25, 0.02
