,Material,P-Value Acc,P-Value F4,P-Value F5,P-Value F6,P-Value B R2,P-Value B MAE,P-Value MD R2,P-Value MD MAE
0,Ti,0.0028208603832232753,0.1262141495490598,0.030365113315399057,0.0006806104529480628,0.08592386002788616,0.0001890120699314349,0.07932167969676177,0.00016285576606790404
1,V,0.00021907963048002185,0.0031851432686599455,0.008967599455194583,0.00012042223841686183,0.00010334649564653764,8.857457687863547e-05,0.2958775226696384,0.00010334649564653764
2,Cr,0.0001401336206158955,0.007481778161526851,0.00016285576606790404,0.00012042223841686183,0.16718404068982073,0.0013245375247995077,0.8812927086539598,0.00010334649564653764
3,Mn,8.857457687863547e-05,0.0001401336206158955,8.857457687863547e-05,8.857457687863547e-05,0.7368753708069717,0.002495007691836849,0.03334022025101753,8.857457687863547e-05
4,Fe,8.857457687863547e-05,8.857457687863547e-05,8.857457687863547e-05,0.00016285576606790404,0.05691459258521418,0.1789561131984324,0.0007795932575314031,8.857457687863547e-05
5,Co,8.857457687863547e-05,0.05340584148798349,0.00010334649564653764,8.857457687863547e-05,0.0010188290449538871,0.00012042223841686183,0.0005167151238567522,8.857457687863547e-05
6,Ni,8.857457687863547e-05,0.00025021619831076065,8.857457687863547e-05,8.857457687863547e-05,0.0002931615477586367,8.857457687863547e-05,0.0011624285733496413,8.857457687863547e-05
7,Cu,8.857457687863547e-05,0.00012042223841686183,8.857457687863547e-05,8.857457687863547e-05,0.0010188290449538871,0.0010188290449538871,0.0057339909503071225,0.00021907963048002185
