,NN-Material,NN- Coord Baseline,RF- Coord Acc.,NN- Coord Acc.,RF- Coord F1 (4),NN- Coord F1 (4),RF- Coord F1 (5),NN- Coord F1 (5),RF- Coord F1 (6),NN- Coord F1 (6),RF- Bader $R^2$,NN- Bader $R^2$,RF- Bader MAE,NN- Bader MAE,RF- Mean NN $R^2$,NN- Mean NN $R^2$,RF- Mean NN-MAE,NN- Mean NN-MAE
0,Ti,52.12,91.15 $\pm$ 0.59,90.42 $\pm$ 0.87,97.86 $ \pm$ 0.62,97.63 $ \pm$ 0.55, 86.81 $ \pm$ 0.86, 86.22 $ \pm$ 1.14, 89.12 $ \pm$ 0.84, 87.79 $ \pm$ 1.28, 63.85 $\pm$3.74, 63.79 $\pm$7.87,0.060 $\pm$0.003 ,0.070 $\pm$0.005 , 73.82 $\pm$4.69, 76.34 $\pm$7.09,0.015 $\pm$0.001,0.016 $\pm$0.003
1,V,35.6,88.12 $\pm$ 0.82,86.20 $\pm$ 1.41,95.51 $ \pm$ 0.60,94.86 $ \pm$ 0.94, 81.56 $ \pm$ 1.29, 80.31 $ \pm$ 1.69, 87.00 $ \pm$ 1.14, 83.59 $ \pm$ 2.04, 82.91 $\pm$1.25, 81.25 $\pm$1.62,0.070 $\pm$0.003 ,0.080 $\pm$0.003 , 93.18 $\pm$1.30, 93.43 $\pm$1.74,0.014 $\pm$0.001,0.016 $\pm$0.003
2,Cr,54.98,94.40 $\pm$ 0.85,92.71 $\pm$ 0.85,99.26 $ \pm$ 0.43,99.03 $ \pm$ 0.47, 91.69 $ \pm$ 1.34, 89.66 $ \pm$ 1.19, 92.44 $ \pm$ 1.13, 89.69 $ \pm$ 1.23, 84.30 $\pm$2.64, 83.19 $\pm$3.31,0.070 $\pm$0.003 ,0.070 $\pm$0.007 , 91.32 $\pm$2.69, 92.45 $\pm$1.77,0.020 $\pm$0.002,0.022 $\pm$0.003
3,Mn,48.79,89.01 $\pm$ 0.67,86.90 $\pm$ 0.64,98.87 $ \pm$ 0.31,97.86 $ \pm$ 0.51, 84.08 $ \pm$ 0.91, 81.82 $ \pm$ 0.69, 84.87 $ \pm$ 1.08, 81.72 $ \pm$ 1.12, 83.83 $\pm$1.81, 85.49 $\pm$2.33,0.060 $\pm$0.002 ,0.060 $\pm$0.005 , 90.86 $\pm$1.17, 90.94 $\pm$1.43,0.017 $\pm$0.000,0.021 $\pm$0.003
4,Fe,43.09,90.41 $\pm$ 0.56,87.68 $\pm$ 1.28,96.28 $ \pm$ 0.65,94.30 $ \pm$ 0.77, 85.62 $ \pm$ 1.09, 81.94 $ \pm$ 1.41, 89.55 $ \pm$ 0.67, 86.91 $ \pm$ 2.06, 76.18 $\pm$2.07, 78.22 $\pm$2.44,0.100 $\pm$0.002 ,0.090 $\pm$0.003 , 87.21 $\pm$1.92, 86.96 $\pm$2.69,0.016 $\pm$0.001,0.019 $\pm$0.003
5,Co,53.55,92.34 $\pm$ 0.88,90.02 $\pm$ 1.30,97.05 $ \pm$ 0.78,96.51 $ \pm$ 0.88, 88.42 $ \pm$ 1.33, 85.64 $ \pm$ 1.61, 91.64 $ \pm$ 1.07, 88.14 $ \pm$ 1.92, 76.60 $\pm$4.90, 75.70 $\pm$5.31,0.070 $\pm$0.004 ,0.080 $\pm$0.004 , 87.94 $\pm$3.41, 86.44 $\pm$3.70,0.018 $\pm$0.002,0.021 $\pm$0.003
6,Ni,61.72,94.13 $\pm$ 0.77,91.83 $\pm$ 0.91,99.25 $ \pm$ 0.33,98.47 $ \pm$ 0.56, 91.34 $ \pm$ 1.23, 88.37 $ \pm$ 1.27, 92.20 $ \pm$ 0.99, 89.12 $ \pm$ 1.37, 52.67 $\pm$6.11, 49.35 $\pm$8.91,0.060 $\pm$0.003 ,0.070 $\pm$0.004 , 86.59 $\pm$5.34, 85.84 $\pm$4.39,0.015 $\pm$0.001,0.018 $\pm$0.002
7,Cu,63.82,95.60 $\pm$ 0.67,92.91 $\pm$ 1.05,96.83 $ \pm$ 0.79,94.32 $ \pm$ 1.13, 93.50 $ \pm$ 1.00, 89.21 $ \pm$ 1.79, 96.51 $ \pm$ 0.52, 95.08 $ \pm$ 1.19, 72.19 $\pm$3.05, 72.36 $\pm$4.56,0.080 $\pm$0.005 ,0.080 $\pm$0.007 , 57.16 $\pm$3.88, 55.62 $\pm$4.71,0.054 $\pm$0.002,0.056 $\pm$0.003
8,'Avgs.',51.71, 91.89, 89.83, 97.61, 96.62, 87.88, 85.4, 90.42, 87.76, 74.07, 73.67, 0.07, 0.08, 83.51, 83.5, 0.02, 0.02
