Material, Coord Baseline, Coord Acc., Coord F1 (4), Coord F1 (5), Coord F1 (6), Bader $R^2$, Bader MAE, Mean NN $R^2$, Mean NN-MAE
Ti,51.38,85.00 $\pm$ 1.15,76.96 $ \pm$ 3.93, 85.27 $ \pm$ 1.19, 86.29 $ \pm$ 0.77, 11.66 $\pm$29.41,0.080 $\pm$0.001 , 81.50 $\pm$2.72,0.015 $\pm$0.000
V,38.28,85.54 $\pm$ 0.18,95.59 $ \pm$ 1.08, 77.86 $ \pm$ 0.40, 84.30 $ \pm$ 0.70, 78.03 $\pm$2.06,0.080 $\pm$0.001 , 92.55 $\pm$0.57,0.016 $\pm$0.000
Cr,59.15,83.97 $\pm$ 0.80,90.51 $ \pm$ 1.40, 65.02 $ \pm$ 0.75, 89.21 $ \pm$ 0.46, 81.65 $\pm$2.52,0.070 $\pm$0.002 , 84.75 $\pm$0.71,0.022 $\pm$0.001
Mn,49.55,78.66 $\pm$ 0.94,61.52 $ \pm$ 3.45, 79.48 $ \pm$ 0.96, 79.20 $ \pm$ 0.75, 69.62 $\pm$6.14,0.070 $\pm$0.001 , 90.77 $\pm$0.40,0.019 $\pm$0.000
Fe,46.26,81.49 $\pm$ 0.58,83.07 $ \pm$ 1.68, 80.54 $ \pm$ 0.85, 82.01 $ \pm$ 0.77, 70.92 $\pm$4.61,0.100 $\pm$0.001 , 87.30 $\pm$0.18,0.017 $\pm$0.000
Co,52.62,79.07 $\pm$ 0.95,81.57 $ \pm$ 3.72, 65.71 $ \pm$ 1.71, 85.95 $ \pm$ 0.28, 69.91 $\pm$7.29,0.070 $\pm$0.003 , 88.76 $\pm$1.04,0.019 $\pm$0.000
Ni,67.06,84.17 $\pm$ 1.22,78.52 $ \pm$ 1.05, 71.85 $ \pm$ 1.93, 89.83 $ \pm$ 0.97, 20.53 $\pm$39.20,0.060 $\pm$0.002 , 84.28 $\pm$2.82,0.017 $\pm$0.001
Cu,67.75,82.15 $\pm$ 0.78,59.59 $ \pm$ 3.05, 87.48 $ \pm$ 0.42, 76.38 $ \pm$ 2.55, 47.12 $\pm$12.63,0.090 $\pm$0.002 , 64.07 $\pm$2.43,0.051 $\pm$0.001
'Avgs.', 54.01, 82.51, 78.42, 76.65, 84.15, 56.18, 0.08, 84.25, 0.02
