,Material,P-Value Acc,P-Value F4,P-Value F5,P-Value F6,P-Value B R2,P-Value B MAE,P-Value MD R2,P-Value MD MAE
0,Ti,8.857457687863547e-05,8.857457687863547e-05,8.857457687863547e-05,8.857457687863547e-05,8.857457687863547e-05,8.857457687863547e-05,8.857457687863547e-05,8.857457687863547e-05
1,V,8.857457687863547e-05,0.0001401336206158955,8.857457687863547e-05,0.00021907963048002185,8.857457687863547e-05,8.857457687863547e-05,8.857457687863547e-05,8.857457687863547e-05
2,Cr,8.857457687863547e-05,8.857457687863547e-05,8.857457687863547e-05,0.00010334649564653764,8.857457687863547e-05,8.857457687863547e-05,8.857457687863547e-05,0.00012042223841686183
3,Mn,8.857457687863547e-05,8.857457687863547e-05,8.857457687863547e-05,8.857457687863547e-05,8.857457687863547e-05,8.857457687863547e-05,8.857457687863547e-05,8.857457687863547e-05
4,Fe,0.00010334649564653764,8.857457687863547e-05,8.857457687863547e-05,0.001944297402789292,8.857457687863547e-05,8.857457687863547e-05,0.00010334649564653764,0.00010334649564653764
5,Co,8.857457687863547e-05,8.857457687863547e-05,8.857457687863547e-05,0.00010334649564653764,8.857457687863547e-05,8.857457687863547e-05,0.00010334649564653764,0.00039023125084089363
6,Ni,8.857457687863547e-05,0.00016285576606790404,8.857457687863547e-05,8.857457687863547e-05,8.857457687863547e-05,8.857457687863547e-05,8.857457687863547e-05,0.00016285576606790404
7,Cu,8.857457687863547e-05,8.857457687863547e-05,8.857457687863547e-05,8.857457687863547e-05,8.857457687863547e-05,8.857457687863547e-05,8.857457687863547e-05,0.00012042223841686183
