Material, Coord Baseline, Coord Acc., Coord F1 (4), Coord F1 (5), Coord F1 (6), Bader $R^2$, Bader MAE, Mean NN $R^2$, Mean NN-MAE
Ti,34.43,91.48 $\pm$ 0.58,97.27 $ \pm$ 0.50, 87.64 $ \pm$ 0.85, 89.78 $ \pm$ 0.75, 74.46 $\pm$1.18,0.060 $\pm$0.002 , 88.27 $\pm$1.15,0.012 $\pm$0.001
V,34.35,89.11 $\pm$ 0.67,96.40 $ \pm$ 0.43, 83.93 $ \pm$ 1.09, 87.19 $ \pm$ 0.84, 88.13 $\pm$0.43,0.060 $\pm$0.001 , 96.71 $\pm$0.27,0.012 $\pm$0.001
Cr,34.93,93.50 $\pm$ 1.13,99.08 $ \pm$ 0.39, 90.12 $ \pm$ 1.73, 91.39 $ \pm$ 1.39, 92.27 $\pm$0.37,0.050 $\pm$0.001 , 95.19 $\pm$0.75,0.019 $\pm$0.003
Mn,34.54,89.40 $\pm$ 0.64,98.10 $ \pm$ 0.35, 84.80 $ \pm$ 1.01, 86.06 $ \pm$ 0.77, 90.66 $\pm$0.49,0.050 $\pm$0.001 , 93.86 $\pm$0.25,0.016 $\pm$0.001
Fe,35.20,88.16 $\pm$ 0.71,93.61 $ \pm$ 0.56, 82.66 $ \pm$ 1.25, 88.36 $ \pm$ 0.66, 82.29 $\pm$0.38,0.080 $\pm$0.001 , 89.97 $\pm$1.09,0.015 $\pm$0.001
Co,34.19,90.67 $\pm$ 1.22,96.04 $ \pm$ 1.14, 86.13 $ \pm$ 1.76, 90.02 $ \pm$ 0.86, 87.92 $\pm$0.50,0.060 $\pm$0.001 , 92.00 $\pm$0.65,0.017 $\pm$0.001
Ni,34.98,91.49 $\pm$ 0.64,97.25 $ \pm$ 0.64, 87.27 $ \pm$ 0.97, 90.23 $ \pm$ 0.74, 77.65 $\pm$1.52,0.050 $\pm$0.002 , 91.30 $\pm$0.80,0.015 $\pm$0.001
Cu,34.78,92.54 $\pm$ 1.62,94.31 $ \pm$ 1.44, 89.45 $ \pm$ 2.07, 94.00 $ \pm$ 1.38, 89.60 $\pm$0.62,0.050 $\pm$0.002 , 65.80 $\pm$2.35,0.050 $\pm$0.003
'Avgs.', 34.67, 90.79, 96.51, 86.5, 89.63, 85.37, 0.06, 89.14, 0.02
