Material, Coord Baseline, Coord Acc., Coord F1 (4), Coord F1 (5), Coord F1 (6), Bader $R^2$, Bader MAE, Mean NN $R^2$, Mean NN-MAE
Ti,52.12,81.97 $\pm$ 1.02,78.16 $ \pm$ 3.21, 82.62 $ \pm$ 1.16, 81.79 $ \pm$ 1.30, 66.31 $\pm$2.81,0.060 $\pm$0.003 , 86.22 $\pm$2.07,0.012 $\pm$0.001
V,35.60,82.42 $\pm$ 0.96,91.17 $ \pm$ 0.66, 75.61 $ \pm$ 1.28, 81.88 $ \pm$ 1.16, 83.05 $\pm$0.78,0.070 $\pm$0.001 , 92.99 $\pm$0.71,0.014 $\pm$0.000
Cr,54.98,87.57 $\pm$ 1.03,96.25 $ \pm$ 0.94, 76.14 $ \pm$ 1.78, 89.81 $ \pm$ 1.03, 91.14 $\pm$0.76,0.060 $\pm$0.002 , 88.79 $\pm$1.20,0.022 $\pm$0.002
Mn,48.79,81.17 $\pm$ 1.18,66.72 $ \pm$ 4.79, 80.53 $ \pm$ 1.44, 82.86 $ \pm$ 1.00, 89.90 $\pm$0.28,0.050 $\pm$0.001 , 92.29 $\pm$0.82,0.017 $\pm$0.001
Fe,43.09,81.06 $\pm$ 0.92,83.12 $ \pm$ 2.20, 78.16 $ \pm$ 1.09, 83.28 $ \pm$ 1.12, 76.13 $\pm$2.66,0.090 $\pm$0.003 , 88.29 $\pm$0.54,0.016 $\pm$0.001
Co,53.55,79.90 $\pm$ 1.24,84.05 $ \pm$ 1.68, 64.49 $ \pm$ 1.86, 86.56 $ \pm$ 1.51, 82.23 $\pm$0.91,0.070 $\pm$0.002 , 82.45 $\pm$1.88,0.020 $\pm$0.001
Ni,61.72,80.44 $\pm$ 1.63,59.64 $ \pm$ 3.76, 69.85 $ \pm$ 2.33, 88.29 $ \pm$ 1.11, 49.85 $\pm$5.60,0.060 $\pm$0.002 , 90.52 $\pm$1.43,0.016 $\pm$0.001
Cu,63.82,79.58 $\pm$ 1.67,65.07 $ \pm$ 3.03, 84.04 $ \pm$ 1.49, 77.18 $ \pm$ 2.05, 79.02 $\pm$2.01,0.060 $\pm$0.002 , 57.72 $\pm$3.34,0.051 $\pm$0.003
'Avgs.', 51.71, 81.76, 78.02, 76.43, 83.96, 77.2, 0.06, 84.91, 0.02
