,Material,P-Value Acc,P-Value F4,P-Value F5,P-Value F6,P-Value B R2,P-Value B MAE,P-Value MD R2,P-Value MD MAE
0,Ti,8.857457687863547e-05,8.857457687863547e-05,8.857457687863547e-05,0.009996388475979442,0.00010334649564653764,0.0006806104529480628,0.00012042223841686183,0.0015072868413933233
1,V,0.0002931615477586367,8.857457687863547e-05,8.857457687863547e-05,0.0045499278703053396,8.857457687863547e-05,8.857457687863547e-05,8.857457687863547e-05,0.00803442885556667
2,Cr,8.857457687863547e-05,8.857457687863547e-05,8.857457687863547e-05,0.00010334649564653764,8.857457687863547e-05,8.857457687863547e-05,8.857457687863547e-05,0.0003384546789562384
3,Mn,0.00025359518031722964,8.857457687863547e-05,8.857457687863547e-05,0.47812547119613813,8.857457687863547e-05,8.857457687863547e-05,0.00010334649564653764,0.6274460333215013
4,Fe,0.003591821574029202,8.857457687863547e-05,0.00012042223841686183,0.39053287003351767,8.857457687863547e-05,8.857457687863547e-05,8.857457687863547e-05,0.004045197049694201
5,Co,0.0001890120699314349,8.857457687863547e-05,8.857457687863547e-05,0.39053287003351767,8.857457687863547e-05,8.857457687863547e-05,8.857457687863547e-05,0.03656128916854718
6,Ni,0.00010334649564653764,8.857457687863547e-05,8.857457687863547e-05,0.47812547119613813,8.857457687863547e-05,8.857457687863547e-05,8.857457687863547e-05,0.0071891683913754955
7,Cu,8.857457687863547e-05,8.857457687863547e-05,8.857457687863547e-05,0.00016285576606790404,8.857457687863547e-05,8.857457687863547e-05,8.857457687863547e-05,8.857457687863547e-05
