Material, Coord Baseline, Coord Acc., Coord F1 (4), Coord F1 (5), Coord F1 (6), Bader $R^2$, Bader MAE, Mean NN $R^2$, Mean NN-MAE
Ti,34.43,91.10 $\pm$ 0.10,97.37 $ \pm$ 0.08, 86.63 $ \pm$ 0.15, 89.36 $ \pm$ 0.16, 57.11 $\pm$0.19,0.070 $\pm$0.000 , 64.42 $\pm$0.23,0.026 $\pm$0.000
V,34.35,88.34 $\pm$ 0.07,95.25 $ \pm$ 0.09, 82.03 $ \pm$ 0.14, 87.57 $ \pm$ 0.09, 81.79 $\pm$0.09,0.080 $\pm$0.000 , 89.80 $\pm$0.04,0.025 $\pm$0.000
Cr,34.93,93.94 $\pm$ 0.08,98.93 $ \pm$ 0.05, 90.74 $ \pm$ 0.13, 92.20 $ \pm$ 0.13, 81.64 $\pm$0.09,0.070 $\pm$0.000 , 87.87 $\pm$0.07,0.031 $\pm$0.000
Mn,34.54,89.10 $\pm$ 0.10,98.80 $ \pm$ 0.02, 84.21 $ \pm$ 0.15, 85.15 $ \pm$ 0.13, 83.05 $\pm$0.04,0.060 $\pm$0.000 , 86.37 $\pm$0.04,0.027 $\pm$0.000
Fe,35.20,89.46 $\pm$ 0.11,94.99 $ \pm$ 0.11, 84.49 $ \pm$ 0.17, 89.00 $ \pm$ 0.16, 75.16 $\pm$0.10,0.100 $\pm$0.000 , 79.48 $\pm$0.09,0.027 $\pm$0.000
Co,34.19,91.46 $\pm$ 0.09,96.90 $ \pm$ 0.15, 87.13 $ \pm$ 0.14, 90.40 $ \pm$ 0.14, 74.83 $\pm$0.12,0.080 $\pm$0.000 , 82.47 $\pm$0.07,0.029 $\pm$0.000
Ni,34.98,93.46 $\pm$ 0.07,99.30 $ \pm$ 0.04, 90.30 $ \pm$ 0.11, 91.18 $ \pm$ 0.08, 48.57 $\pm$0.41,0.070 $\pm$0.000 , 79.37 $\pm$0.08,0.026 $\pm$0.000
Cu,34.78,94.51 $\pm$ 0.06,96.05 $ \pm$ 0.11, 91.97 $ \pm$ 0.09, 95.56 $ \pm$ 0.07, 70.87 $\pm$0.11,0.080 $\pm$0.000 , 55.74 $\pm$0.15,0.060 $\pm$0.000
'Avgs.', 34.67, 91.42, 97.2, 87.19, 90.05, 71.63, 0.08, 78.19, 0.03
