,Material,P-Value Acc,P-Value F4,P-Value F5,P-Value F6,P-Value B R2,P-Value B MAE,P-Value MD R2,P-Value MD MAE
0,Ti,0.069580078125,5.7220458984375e-06,3.62396240234375e-05,0.000133514404296875,1.9073486328125e-06,1.9073486328125e-06,8.20159912109375e-05,1.9073486328125e-06
1,V,0.3299827575683594,0.013616561889648438,5.7220458984375e-06,0.47490501403808594,3.62396240234375e-05,1.9073486328125e-06,8.20159912109375e-05,3.814697265625e-06
2,Cr,0.00830841064453125,0.7171903998703537,0.009435653686523438,0.009435653686523438,2.6702880859375e-05,3.814697265625e-06,0.5458755493164062,0.082550048828125
3,Mn,0.006389617919921875,0.0003948211669921875,0.06372261047363281,1.9073486328125e-06,9.5367431640625e-06,1.9073486328125e-06,9.5367431640625e-06,0.0019855499267578125
4,Fe,3.814697265625e-06,0.000133514404296875,6.29425048828125e-05,1.9073486328125e-06,0.000133514404296875,0.0004825592041015625,1.9073486328125e-06,8.20159912109375e-05
5,Co,0.0019855499267578125,9.5367431640625e-06,0.8408222198486328,1.9073486328125e-06,0.00485992431640625,0.0042209625244140625,9.5367431640625e-06,0.8123550415039062
6,Ni,0.00830841064453125,0.00485992431640625,0.9272785186767578,9.5367431640625e-06,0.00365447998046875,3.814697265625e-06,9.5367431640625e-06,0.1893482208251953
7,Cu,1.9073486328125e-06,1.9073486328125e-06,1.9073486328125e-06,1.9073486328125e-06,1.9073486328125e-06,1.9073486328125e-06,6.29425048828125e-05,0.20244979858398438
