Material, Coord Baseline, Coord Acc., Coord F1 (4), Coord F1 (5), Coord F1 (6), Bader $R^2$, Bader MAE, Mean NN $R^2$, Mean NN-MAE
Ti,36.38,33.23 $\pm$ 0.52,29.88 $ \pm$ 2.54, 34.45 $ \pm$ 2.15, 34.36 $ \pm$ 2.48, -748.81 $\pm$525.23,0.130 $\pm$0.005 , -13.12 $\pm$1.44,0.049 $\pm$0.001
V,34.47,34.06 $\pm$ 0.38,24.74 $ \pm$ 4.69, 31.88 $ \pm$ 7.35, 38.78 $ \pm$ 5.85, -289.08 $\pm$188.75,0.220 $\pm$0.002 , -7.81 $\pm$0.94,0.091 $\pm$0.000
Cr,34.07,32.57 $\pm$ 0.33,32.13 $ \pm$ 1.86, 31.39 $ \pm$ 1.20, 34.13 $ \pm$ 0.21, -488.04 $\pm$339.02,0.210 $\pm$0.004 , -24.94 $\pm$7.74,0.122 $\pm$0.007
Mn,35.05,33.99 $\pm$ 0.34,21.62 $ \pm$ 2.68, 30.37 $ \pm$ 8.34, 40.26 $ \pm$ 6.95, -328.35 $\pm$218.64,0.200 $\pm$0.002 , -7.80 $\pm$1.61,0.095 $\pm$0.001
Fe,34.27,33.98 $\pm$ 0.56,26.17 $ \pm$ 0.15, 25.03 $ \pm$ 3.50, 43.47 $ \pm$ 0.22, -369.12 $\pm$241.31,0.220 $\pm$0.004 , -4.19 $\pm$0.76,0.076 $\pm$0.000
Co,33.67,33.46 $\pm$ 0.48,29.97 $ \pm$ 2.36, 28.42 $ \pm$ 3.05, 39.05 $ \pm$ 1.80, -399.33 $\pm$275.45,0.170 $\pm$0.007 , -14.16 $\pm$4.60,0.093 $\pm$0.002
Ni,36.16,34.20 $\pm$ 0.55,29.38 $ \pm$ 2.58, 31.89 $ \pm$ 0.35, 39.43 $ \pm$ 2.93, -361.57 $\pm$236.33,0.120 $\pm$0.001 , -9.99 $\pm$2.22,0.078 $\pm$0.001
Cu,34.39,33.21 $\pm$ 0.31,29.40 $ \pm$ 1.51, 34.63 $ \pm$ 0.55, 35.07 $ \pm$ 0.57, -254.43 $\pm$158.91,0.200 $\pm$0.004 , -19.72 $\pm$7.73,0.115 $\pm$0.004
'Avgs.', 34.81, 33.59, 27.91, 31.01, 38.07, -404.84, 0.18, -12.72, 0.09
