Material, Coord Baseline, Coord Acc., Coord F1 (4), Coord F1 (5), Coord F1 (6), Bader $R^2$, Bader MAE, Mean NN $R^2$, Mean NN-MAE
Ti,52.12,90.45 $\pm$ 1.06,97.63 $ \pm$ 0.65, 85.96 $ \pm$ 1.41, 88.11 $ \pm$ 1.79, 52.73 $\pm$9.28,0.150 $\pm$0.013 , 63.67 $\pm$22.68,0.057 $\pm$0.006
V,35.60,86.21 $\pm$ 1.05,94.90 $ \pm$ 0.70, 79.41 $ \pm$ 1.47, 84.31 $ \pm$ 1.76, 78.27 $\pm$3.42,0.270 $\pm$0.011 , 92.39 $\pm$1.25,0.119 $\pm$0.004
Cr,54.98,93.48 $\pm$ 0.81,99.18 $ \pm$ 0.46, 90.55 $ \pm$ 1.27, 90.95 $ \pm$ 0.96, 78.06 $\pm$7.64,0.260 $\pm$0.018 , 88.58 $\pm$4.75,0.155 $\pm$0.010
Mn,48.79,87.18 $\pm$ 0.97,98.01 $ \pm$ 0.58, 81.22 $ \pm$ 1.73, 82.98 $ \pm$ 1.12, 82.82 $\pm$2.72,0.250 $\pm$0.005 , 88.77 $\pm$2.54,0.125 $\pm$0.004
Fe,43.09,88.43 $\pm$ 0.98,94.54 $ \pm$ 1.13, 82.91 $ \pm$ 1.77, 88.00 $ \pm$ 1.19, 72.92 $\pm$5.72,0.260 $\pm$0.013 , 85.50 $\pm$2.60,0.100 $\pm$0.003
Co,53.55,90.61 $\pm$ 1.18,96.86 $ \pm$ 0.52, 86.17 $ \pm$ 1.86, 89.03 $ \pm$ 1.63, 72.49 $\pm$9.18,0.210 $\pm$0.016 , 82.64 $\pm$5.50,0.111 $\pm$0.005
Ni,61.72,92.38 $\pm$ 1.44,98.75 $ \pm$ 0.59, 88.88 $ \pm$ 2.30, 89.94 $ \pm$ 1.95, 36.69 $\pm$17.60,0.130 $\pm$0.009 , 70.00 $\pm$29.98,0.093 $\pm$0.009
Cu,63.82,93.68 $\pm$ 1.70,95.10 $ \pm$ 1.79, 90.46 $ \pm$ 2.65, 95.41 $ \pm$ 0.99, 73.89 $\pm$6.43,0.230 $\pm$0.010 , 52.30 $\pm$6.14,0.135 $\pm$0.007
'Avgs.', 51.71, 90.3, 96.87, 85.7, 88.59, 68.48, 0.22, 77.98, 0.11
