Material, Coord Baseline, Coord Acc., Coord F1 (4), Coord F1 (5), Coord F1 (6), Bader $R^2$, Bader MAE, Mean NN $R^2$, Mean NN-MAE
Ti,52.12,82.04 $\pm$ 0.88,75.80 $ \pm$ 2.19, 82.46 $ \pm$ 1.04, 82.67 $ \pm$ 1.02, 64.14 $\pm$2.44,0.060 $\pm$0.002 , 84.64 $\pm$2.05,0.013 $\pm$0.001
V,35.60,82.27 $\pm$ 0.76,90.88 $ \pm$ 0.72, 75.40 $ \pm$ 1.06, 81.99 $ \pm$ 1.04, 81.95 $\pm$1.21,0.080 $\pm$0.002 , 92.83 $\pm$0.54,0.014 $\pm$0.000
Cr,54.98,87.24 $\pm$ 1.51,96.90 $ \pm$ 1.06, 75.63 $ \pm$ 2.31, 89.14 $ \pm$ 1.49, 90.80 $\pm$0.62,0.060 $\pm$0.002 , 89.39 $\pm$1.26,0.022 $\pm$0.001
Mn,48.79,80.98 $\pm$ 0.94,69.13 $ \pm$ 3.17, 80.23 $ \pm$ 1.21, 82.65 $ \pm$ 0.84, 88.47 $\pm$0.81,0.050 $\pm$0.001 , 91.55 $\pm$0.91,0.017 $\pm$0.001
Fe,43.09,82.45 $\pm$ 0.83,84.53 $ \pm$ 1.46, 79.57 $ \pm$ 1.13, 84.56 $ \pm$ 1.03, 73.58 $\pm$1.47,0.100 $\pm$0.003 , 88.22 $\pm$0.76,0.017 $\pm$0.001
Co,53.55,80.09 $\pm$ 1.25,82.94 $ \pm$ 1.87, 66.15 $ \pm$ 1.81, 86.79 $ \pm$ 1.17, 80.36 $\pm$1.18,0.070 $\pm$0.002 , 82.05 $\pm$1.97,0.021 $\pm$0.001
Ni,61.72,79.96 $\pm$ 1.65,59.02 $ \pm$ 2.51, 69.02 $ \pm$ 2.57, 87.95 $ \pm$ 1.41, 46.36 $\pm$4.97,0.060 $\pm$0.002 , 90.33 $\pm$1.91,0.016 $\pm$0.001
Cu,63.82,79.96 $\pm$ 1.58,66.46 $ \pm$ 3.38, 84.29 $ \pm$ 1.33, 77.28 $ \pm$ 2.00, 79.68 $\pm$1.32,0.060 $\pm$0.002 , 55.34 $\pm$3.10,0.054 $\pm$0.003
'Avgs.', 51.71, 81.87, 78.21, 76.59, 84.13, 75.67, 0.07, 84.29, 0.02
