Material, Coord Baseline, Coord Acc., Coord F1 (4), Coord F1 (5), Coord F1 (6), Bader $R^2$, Bader MAE, Mean NN $R^2$, Mean NN-MAE
Ti,34.43,91.10 $\pm$ 0.04,97.36 $ \pm$ 0.07, 86.63 $ \pm$ 0.05, 89.37 $ \pm$ 0.11, 21.71 $\pm$25.82,0.070 $\pm$0.000 , 64.13 $\pm$0.13,0.027 $\pm$0.000
V,34.35,88.29 $\pm$ 0.03,95.18 $ \pm$ 0.09, 81.90 $ \pm$ 0.11, 87.60 $ \pm$ 0.11, 78.30 $\pm$2.72,0.080 $\pm$0.000 , 89.73 $\pm$0.04,0.025 $\pm$0.000
Cr,34.93,93.98 $\pm$ 0.10,98.88 $ \pm$ 0.04, 90.78 $ \pm$ 0.15, 92.32 $ \pm$ 0.11, 77.03 $\pm$3.43,0.070 $\pm$0.000 , 88.07 $\pm$0.05,0.031 $\pm$0.000
Mn,34.54,89.17 $\pm$ 0.05,98.81 $ \pm$ 0.03, 84.31 $ \pm$ 0.09, 85.26 $ \pm$ 0.04, 79.40 $\pm$2.73,0.060 $\pm$0.000 , 86.55 $\pm$0.06,0.027 $\pm$0.000
Fe,35.20,89.53 $\pm$ 0.05,95.13 $ \pm$ 0.06, 84.61 $ \pm$ 0.09, 88.99 $ \pm$ 0.08, 66.35 $\pm$6.47,0.100 $\pm$0.000 , 79.29 $\pm$0.04,0.027 $\pm$0.000
Co,34.19,91.44 $\pm$ 0.13,96.79 $ \pm$ 0.11, 87.09 $ \pm$ 0.21, 90.48 $ \pm$ 0.14, 64.92 $\pm$7.12,0.080 $\pm$0.000 , 82.61 $\pm$0.06,0.029 $\pm$0.000
Ni,34.98,93.45 $\pm$ 0.04,99.30 $ \pm$ 0.01, 90.28 $ \pm$ 0.07, 91.17 $ \pm$ 0.05, -21.42 $\pm$48.99,0.070 $\pm$0.000 , 79.26 $\pm$0.07,0.026 $\pm$0.000
Cu,34.78,94.52 $\pm$ 0.09,96.05 $ \pm$ 0.17, 91.98 $ \pm$ 0.13, 95.59 $ \pm$ 0.09, 52.02 $\pm$13.11,0.090 $\pm$0.000 , 54.66 $\pm$0.09,0.060 $\pm$0.000
'Avgs.', 34.67, 91.44, 97.19, 87.2, 90.1, 52.29, 0.08, 78.04, 0.03
