Material, Coord Baseline, Coord Acc., Coord F1 (4), Coord F1 (5), Coord F1 (6), Bader $R^2$, Bader MAE, Mean NN $R^2$, Mean NN-MAE
Ti,52.12,91.13 $\pm$ 0.67,97.03 $ \pm$ 0.47, 87.54 $ \pm$ 0.75, 89.23 $ \pm$ 1.17, 77.27 $\pm$3.03,0.060 $\pm$0.004 , 88.18 $\pm$5.12,0.013 $\pm$0.003
V,35.60,87.87 $\pm$ 0.86,96.17 $ \pm$ 0.41, 82.84 $ \pm$ 1.01, 84.65 $ \pm$ 1.66, 89.04 $\pm$0.84,0.060 $\pm$0.003 , 96.62 $\pm$0.50,0.013 $\pm$0.002
Cr,54.98,94.29 $\pm$ 0.80,99.24 $ \pm$ 0.19, 91.64 $ \pm$ 1.22, 92.20 $ \pm$ 1.04, 92.13 $\pm$0.79,0.050 $\pm$0.003 , 96.84 $\pm$0.67,0.016 $\pm$0.002
Mn,48.79,88.39 $\pm$ 0.61,96.97 $ \pm$ 0.36, 83.69 $ \pm$ 0.79, 85.02 $ \pm$ 1.18, 90.56 $\pm$0.86,0.050 $\pm$0.002 , 94.45 $\pm$1.06,0.017 $\pm$0.002
Fe,43.09,87.93 $\pm$ 1.27,93.66 $ \pm$ 0.46, 82.58 $ \pm$ 1.46, 87.68 $ \pm$ 2.04, 83.79 $\pm$0.87,0.080 $\pm$0.002 , 92.97 $\pm$0.93,0.015 $\pm$0.002
Co,53.55,90.62 $\pm$ 0.80,95.77 $ \pm$ 0.45, 86.48 $ \pm$ 1.18, 89.82 $ \pm$ 1.18, 86.82 $\pm$2.87,0.060 $\pm$0.003 , 92.85 $\pm$1.13,0.017 $\pm$0.002
Ni,61.72,91.28 $\pm$ 0.66,97.48 $ \pm$ 0.35, 87.37 $ \pm$ 0.81, 89.30 $ \pm$ 1.10, 75.52 $\pm$2.11,0.050 $\pm$0.002 , 93.66 $\pm$0.94,0.015 $\pm$0.001
Cu,63.82,92.38 $\pm$ 1.00,93.80 $ \pm$ 0.81, 89.23 $ \pm$ 1.47, 94.27 $ \pm$ 1.11, 87.60 $\pm$1.06,0.060 $\pm$0.002 , 72.88 $\pm$2.03,0.044 $\pm$0.002
'Avgs.', 51.71, 90.49, 96.26, 86.42, 89.02, 85.34, 0.06, 91.06, 0.02
