,NN-Material,NN- Coord Baseline,RF- Coord Acc.,NN- Coord Acc.,RF- Coord F1 (4),NN- Coord F1 (4),RF- Coord F1 (5),NN- Coord F1 (5),RF- Coord F1 (6),NN- Coord F1 (6),RF- Bader $R^2$,NN- Bader $R^2$,RF- Bader MAE,NN- Bader MAE,RF- Mean NN $R^2$,NN- Mean NN $R^2$,RF- Mean NN-MAE,NN- Mean NN-MAE
0,Ti,34.43,88.20 $\pm$ 0.12,91.31 $\pm$ 0.69,93.84 $ \pm$ 0.13,97.18 $ \pm$ 0.51, 81.98 $ \pm$ 0.20, 87.45 $ \pm$ 1.06, 88.67 $ \pm$ 0.17, 89.54 $ \pm$ 0.90, 64.08 $\pm$0.23, 74.37 $\pm$1.31,0.060 $\pm$0.000 ,0.060 $\pm$0.002 , 80.77 $\pm$0.18, 88.53 $\pm$1.00,0.015 $\pm$0.000,0.012 $\pm$0.001
1,V,34.35,86.56 $\pm$ 0.15,89.22 $\pm$ 0.59,94.64 $ \pm$ 0.09,96.50 $ \pm$ 0.39, 78.81 $ \pm$ 0.24, 83.98 $ \pm$ 1.05, 85.87 $ \pm$ 0.17, 87.34 $ \pm$ 0.70, 84.88 $\pm$0.05, 88.06 $\pm$0.20,0.070 $\pm$0.000 ,0.060 $\pm$0.001 , 94.90 $\pm$0.03, 96.74 $\pm$0.24,0.014 $\pm$0.000,0.012 $\pm$0.000
2,Cr,34.93,90.76 $\pm$ 0.21,93.89 $\pm$ 0.85,97.64 $ \pm$ 0.10,99.09 $ \pm$ 0.38, 85.29 $ \pm$ 0.35, 90.65 $ \pm$ 1.21, 89.29 $ \pm$ 0.27, 92.02 $ \pm$ 1.05, 87.27 $\pm$0.10, 92.12 $\pm$0.73,0.060 $\pm$0.000 ,0.050 $\pm$0.003 , 92.10 $\pm$0.09, 95.39 $\pm$0.51,0.020 $\pm$0.000,0.018 $\pm$0.002
3,Mn,34.54,87.45 $\pm$ 0.09,89.58 $\pm$ 0.47,96.27 $ \pm$ 0.05,98.13 $ \pm$ 0.24, 81.85 $ \pm$ 0.15, 85.01 $ \pm$ 0.70, 84.95 $ \pm$ 0.13, 86.36 $ \pm$ 0.69, 85.05 $\pm$0.07, 90.70 $\pm$0.35,0.060 $\pm$0.000 ,0.050 $\pm$0.001 , 92.10 $\pm$0.05, 93.83 $\pm$0.25,0.018 $\pm$0.000,0.016 $\pm$0.000
4,Fe,35.2,86.42 $\pm$ 0.14,88.16 $\pm$ 0.71,91.82 $ \pm$ 0.12,93.57 $ \pm$ 0.78, 79.99 $ \pm$ 0.21, 82.89 $ \pm$ 1.18, 87.57 $ \pm$ 0.14, 88.25 $ \pm$ 0.59, 78.32 $\pm$0.07, 82.30 $\pm$0.64,0.100 $\pm$0.000 ,0.080 $\pm$0.002 , 86.44 $\pm$0.07, 90.35 $\pm$0.50,0.017 $\pm$0.000,0.015 $\pm$0.000
5,Co,34.19,88.75 $\pm$ 0.14,91.09 $\pm$ 0.55,93.91 $ \pm$ 0.12,96.33 $ \pm$ 0.51, 82.50 $ \pm$ 0.23, 86.70 $ \pm$ 0.88, 89.60 $ \pm$ 0.18, 90.39 $ \pm$ 0.63, 80.89 $\pm$0.10, 87.90 $\pm$0.68,0.070 $\pm$0.000 ,0.060 $\pm$0.002 , 89.87 $\pm$0.07, 92.15 $\pm$0.41,0.018 $\pm$0.000,0.017 $\pm$0.001
6,Ni,34.98,89.21 $\pm$ 0.13,91.60 $\pm$ 0.71,96.18 $ \pm$ 0.13,97.36 $ \pm$ 0.48, 83.56 $ \pm$ 0.19, 87.44 $ \pm$ 1.01, 88.06 $ \pm$ 0.15, 90.27 $ \pm$ 0.83, 62.85 $\pm$0.31, 76.97 $\pm$2.80,0.060 $\pm$0.000 ,0.050 $\pm$0.003 , 88.30 $\pm$0.10, 91.34 $\pm$0.85,0.016 $\pm$0.000,0.015 $\pm$0.002
7,Cu,34.78,88.89 $\pm$ 0.14,92.99 $\pm$ 0.78,90.90 $ \pm$ 0.17,94.57 $ \pm$ 0.86, 84.98 $ \pm$ 0.18, 89.99 $ \pm$ 1.10, 91.25 $ \pm$ 0.12, 94.51 $ \pm$ 0.52, 75.65 $\pm$0.14, 89.59 $\pm$0.53,0.080 $\pm$0.000 ,0.050 $\pm$0.002 , 61.36 $\pm$0.20, 66.71 $\pm$1.70,0.053 $\pm$0.000,0.049 $\pm$0.002
8,'Avgs.',34.67, 88.28, 90.98, 94.4, 96.59, 82.37, 86.76, 88.16, 89.84, 77.37, 85.25, 0.07, 0.06, 85.73, 89.38, 0.02, 0.02
