Material, Coord Baseline, Coord Acc., Coord F1 (4), Coord F1 (5), Coord F1 (6), Bader $R^2$, Bader MAE, Mean NN $R^2$, Mean NN-MAE
Ti,34.90,90.66 $\pm$ 0.75,97.07 $ \pm$ 0.54, 86.68 $ \pm$ 0.78, 88.69 $ \pm$ 1.39, 47.66 $\pm$5.12,0.080 $\pm$0.002 , 56.58 $\pm$1.17,0.032 $\pm$0.001
V,34.88,86.65 $\pm$ 0.34,95.36 $ \pm$ 0.06, 81.32 $ \pm$ 0.40, 83.46 $ \pm$ 0.60, 76.82 $\pm$0.58,0.090 $\pm$0.003 , 85.06 $\pm$0.90,0.033 $\pm$0.001
Cr,35.31,91.80 $\pm$ 0.36,97.70 $ \pm$ 0.20, 88.52 $ \pm$ 0.34, 89.85 $ \pm$ 0.86, 77.08 $\pm$4.34,0.080 $\pm$0.004 , 88.44 $\pm$1.00,0.035 $\pm$0.001
Mn,35.41,86.94 $\pm$ 0.29,97.24 $ \pm$ 0.51, 81.36 $ \pm$ 0.67, 82.94 $ \pm$ 0.41, 79.29 $\pm$1.51,0.070 $\pm$0.001 , 84.19 $\pm$0.16,0.034 $\pm$0.000
Fe,34.35,87.25 $\pm$ 0.62,93.99 $ \pm$ 0.15, 80.80 $ \pm$ 0.65, 86.86 $ \pm$ 1.16, 71.51 $\pm$1.75,0.110 $\pm$0.001 , 75.51 $\pm$0.26,0.034 $\pm$0.000
Co,35.74,89.17 $\pm$ 0.34,95.25 $ \pm$ 0.21, 84.48 $ \pm$ 0.60, 88.29 $ \pm$ 0.46, 65.23 $\pm$7.45,0.090 $\pm$0.001 , 77.47 $\pm$3.02,0.037 $\pm$0.003
Ni,36.59,91.33 $\pm$ 1.02,98.65 $ \pm$ 0.43, 87.65 $ \pm$ 1.32, 88.52 $ \pm$ 1.28, -4.16 $\pm$38.60,0.080 $\pm$0.002 , 74.91 $\pm$1.01,0.034 $\pm$0.001
Cu,36.69,93.30 $\pm$ 0.02,94.55 $ \pm$ 0.48, 90.48 $ \pm$ 0.03, 95.05 $ \pm$ 0.47, 63.09 $\pm$6.01,0.090 $\pm$0.002 , 50.46 $\pm$1.06,0.065 $\pm$0.002
'Avgs.', 35.48, 89.64, 96.23, 85.16, 87.96, 59.57, 0.09, 74.08, 0.04
