Material, Coord Baseline, Coord Acc., Coord F1 (4), Coord F1 (5), Coord F1 (6), Bader $R^2$, Bader MAE, Mean NN $R^2$, Mean NN-MAE
Ti,52.12,83.17 $\pm$ 1.74,76.36 $ \pm$ 3.29, 83.58 $ \pm$ 1.96, 83.83 $ \pm$ 1.48, 55.35 $\pm$9.70,0.140 $\pm$0.006 , 64.87 $\pm$26.30,0.053 $\pm$0.005
V,35.60,85.13 $\pm$ 1.41,92.28 $ \pm$ 0.66, 79.01 $ \pm$ 1.95, 85.14 $ \pm$ 1.86, 80.00 $\pm$3.33,0.270 $\pm$0.006 , 90.99 $\pm$1.75,0.117 $\pm$0.001
Cr,54.98,85.01 $\pm$ 5.04,95.18 $ \pm$ 1.98, 72.57 $ \pm$ 9.06, 87.15 $ \pm$ 4.82, 85.49 $\pm$3.64,0.280 $\pm$0.014 , 86.66 $\pm$7.40,0.159 $\pm$0.008
Mn,48.79,80.96 $\pm$ 1.10,61.72 $ \pm$ 6.48, 79.27 $ \pm$ 1.55, 83.71 $ \pm$ 1.06, 78.07 $\pm$29.56,0.250 $\pm$0.017 , 89.91 $\pm$1.56,0.130 $\pm$0.003
Fe,43.09,83.82 $\pm$ 1.98,83.93 $ \pm$ 2.26, 80.87 $ \pm$ 3.45, 86.71 $ \pm$ 1.08, 71.09 $\pm$5.85,0.260 $\pm$0.004 , 86.07 $\pm$1.74,0.105 $\pm$0.003
Co,53.55,81.29 $\pm$ 2.00,86.06 $ \pm$ 3.27, 69.14 $ \pm$ 2.60, 86.54 $ \pm$ 1.85, 76.54 $\pm$5.70,0.220 $\pm$0.011 , 78.88 $\pm$4.87,0.109 $\pm$0.005
Ni,61.72,79.13 $\pm$ 2.51,64.62 $ \pm$ 3.78, 67.68 $ \pm$ 3.78, 86.65 $ \pm$ 2.04, 37.46 $\pm$4.44,0.120 $\pm$0.006 , 86.96 $\pm$4.58,0.097 $\pm$0.004
Cu,63.82,79.61 $\pm$ 3.54,67.38 $ \pm$ 4.28, 83.55 $ \pm$ 3.67, 76.64 $ \pm$ 2.89, 71.66 $\pm$5.90,0.210 $\pm$0.007 , 59.09 $\pm$2.51,0.130 $\pm$0.006
'Avgs.', 51.71, 82.26, 78.44, 76.96, 84.55, 69.46, 0.22, 80.43, 0.11
