,Material,P-Value Acc,P-Value F4,P-Value F5,P-Value F6,P-Value B R2,P-Value B MAE,P-Value MD R2,P-Value MD MAE
0,Ti,0.006389617919921875,1.33514404296875e-05,9.5367431640625e-06,6.29425048828125e-05,1.9073486328125e-06,1.9073486328125e-06,1.9073486328125e-06,1.9073486328125e-06
1,V,0.47490501403808594,0.03276824951171875,3.62396240234375e-05,0.0042209625244140625,0.0014324188232421875,1.33514404296875e-05,0.000133514404296875,1.9073486328125e-06
2,Cr,0.001689910888671875,0.8446284810712963,0.001689910888671875,0.001209259033203125,1.9073486328125e-06,1.9073486328125e-06,0.40909767150878906,0.5958194732666016
3,Mn,0.009435653686523438,0.000209808349609375,0.069580078125,5.7220458984375e-06,1.9073486328125e-05,1.9073486328125e-06,1.9073486328125e-05,0.0010166168212890625
4,Fe,9.5367431640625e-06,0.0010166168212890625,0.0003223419189453125,1.9073486328125e-06,0.021484375,1.9073486328125e-05,1.9073486328125e-06,3.814697265625e-06
5,Co,0.01923370361328125,2.6702880859375e-05,0.01068878173828125,1.9073486328125e-06,0.0003948211669921875,8.20159912109375e-05,3.814697265625e-06,0.6476554870605469
6,Ni,0.002712249755859375,0.006389617919921875,0.20244979858398438,1.9073486328125e-05,0.4304332733154297,1.9073486328125e-06,1.9073486328125e-06,0.6476554870605469
7,Cu,1.9073486328125e-06,1.9073486328125e-06,1.9073486328125e-06,1.33514404296875e-05,1.9073486328125e-06,1.9073486328125e-06,1.9073486328125e-06,0.04405403137207031
