Material, Coord Baseline, Coord Acc., Coord F1 (4), Coord F1 (5), Coord F1 (6), Bader $R^2$, Bader MAE, Mean NN $R^2$, Mean NN-MAE
Ti,51.38,86.09 $\pm$ 0.75,77.98 $ \pm$ 1.43, 86.43 $ \pm$ 0.81, 87.29 $ \pm$ 1.04, 58.04 $\pm$2.06,0.070 $\pm$0.002 , 85.80 $\pm$1.66,0.015 $\pm$0.002
V,38.28,85.05 $\pm$ 0.89,95.83 $ \pm$ 0.70, 78.78 $ \pm$ 0.97, 82.36 $ \pm$ 1.60, 83.23 $\pm$1.05,0.080 $\pm$0.003 , 94.82 $\pm$0.43,0.015 $\pm$0.001
Cr,59.15,84.13 $\pm$ 1.41,93.06 $ \pm$ 2.10, 67.46 $ \pm$ 2.29, 87.97 $ \pm$ 1.22, 85.69 $\pm$1.46,0.070 $\pm$0.004 , 86.28 $\pm$1.48,0.022 $\pm$0.002
Mn,49.55,80.26 $\pm$ 1.01,59.63 $ \pm$ 4.80, 80.81 $ \pm$ 0.98, 81.72 $ \pm$ 1.33, 83.08 $\pm$1.34,0.060 $\pm$0.002 , 92.45 $\pm$0.89,0.017 $\pm$0.002
Fe,46.26,81.23 $\pm$ 1.49,81.54 $ \pm$ 1.27, 80.37 $ \pm$ 1.51, 82.10 $ \pm$ 2.13, 78.98 $\pm$1.00,0.090 $\pm$0.003 , 88.39 $\pm$1.75,0.017 $\pm$0.002
Co,52.62,80.41 $\pm$ 1.64,80.17 $ \pm$ 2.29, 68.91 $ \pm$ 2.37, 87.28 $ \pm$ 1.93, 80.97 $\pm$2.14,0.070 $\pm$0.004 , 89.33 $\pm$1.03,0.021 $\pm$0.003
Ni,67.06,82.88 $\pm$ 1.45,67.12 $ \pm$ 5.12, 69.76 $ \pm$ 2.29, 89.67 $ \pm$ 1.31, 52.98 $\pm$8.28,0.060 $\pm$0.003 , 84.52 $\pm$8.31,0.023 $\pm$0.010
Cu,67.75,82.57 $\pm$ 1.42,68.13 $ \pm$ 2.74, 87.58 $ \pm$ 1.12, 74.34 $ \pm$ 2.53, 68.87 $\pm$3.38,0.080 $\pm$0.005 , 59.39 $\pm$4.32,0.052 $\pm$0.003
'Avgs.', 54.01, 82.83, 77.93, 77.51, 84.09, 73.98, 0.07, 85.12, 0.02
