Material, Coord Baseline, Coord Acc., Coord F1 (4), Coord F1 (5), Coord F1 (6), Bader $R^2$, Bader MAE, Mean NN $R^2$, Mean NN-MAE
Ti,34.43,93.67 $\pm$ 0.35,98.20 $ \pm$ 0.24, 90.89 $ \pm$ 0.44, 92.12 $ \pm$ 0.59, 80.23 $\pm$1.25,0.050 $\pm$0.002 , 92.61 $\pm$2.76,0.012 $\pm$0.004
V,34.35,90.84 $\pm$ 0.69,97.51 $ \pm$ 0.37, 87.28 $ \pm$ 0.77, 87.90 $ \pm$ 1.29, 91.45 $\pm$0.56,0.060 $\pm$0.002 , 97.63 $\pm$0.38,0.012 $\pm$0.001
Cr,34.93,95.72 $\pm$ 1.27,99.43 $ \pm$ 0.26, 93.65 $ \pm$ 1.84, 94.15 $ \pm$ 1.78, 92.98 $\pm$0.64,0.050 $\pm$0.002 , 96.80 $\pm$0.76,0.015 $\pm$0.002
Mn,34.54,90.48 $\pm$ 0.53,97.71 $ \pm$ 0.33, 86.65 $ \pm$ 0.66, 87.65 $ \pm$ 0.75, 93.07 $\pm$0.21,0.040 $\pm$0.001 , 95.47 $\pm$0.36,0.015 $\pm$0.001
Fe,35.20,90.22 $\pm$ 0.65,94.55 $ \pm$ 0.29, 86.14 $ \pm$ 0.60, 90.19 $ \pm$ 1.24, 86.28 $\pm$0.53,0.080 $\pm$0.002 , 93.74 $\pm$0.72,0.014 $\pm$0.001
Co,34.19,92.88 $\pm$ 0.57,97.10 $ \pm$ 0.31, 89.65 $ \pm$ 0.83, 92.06 $ \pm$ 0.70, 88.82 $\pm$0.50,0.050 $\pm$0.002 , 95.00 $\pm$0.51,0.016 $\pm$0.001
Ni,34.98,93.40 $\pm$ 0.47,98.18 $ \pm$ 0.10, 90.41 $ \pm$ 0.64, 91.90 $ \pm$ 0.73, 80.58 $\pm$1.43,0.050 $\pm$0.002 , 94.37 $\pm$0.46,0.013 $\pm$0.001
Cu,34.78,94.66 $\pm$ 0.81,95.50 $ \pm$ 0.55, 92.48 $ \pm$ 1.08, 96.14 $ \pm$ 0.84, 90.74 $\pm$0.54,0.050 $\pm$0.002 , 80.13 $\pm$1.44,0.039 $\pm$0.002
'Avgs.', 34.67, 92.73, 97.27, 89.64, 91.51, 88.02, 0.05, 93.22, 0.02
