Material, Coord Baseline, Coord Acc., Coord F1 (4), Coord F1 (5), Coord F1 (6), Bader $R^2$, Bader MAE, Mean NN $R^2$, Mean NN-MAE
Ti,52.12,84.38 $\pm$ 0.26,74.84 $ \pm$ 1.34, 84.51 $ \pm$ 0.29, 85.86 $ \pm$ 0.32, 55.35 $\pm$9.70,0.060 $\pm$0.001 , 81.03 $\pm$0.62,0.014 $\pm$0.000
V,35.60,83.90 $\pm$ 0.28,92.00 $ \pm$ 0.25, 76.21 $ \pm$ 0.40, 84.18 $ \pm$ 0.32, 80.00 $\pm$3.33,0.070 $\pm$0.000 , 92.87 $\pm$0.15,0.014 $\pm$0.000
Cr,54.98,89.99 $\pm$ 0.73,96.33 $ \pm$ 0.37, 80.42 $ \pm$ 1.34, 92.11 $ \pm$ 0.67, 85.49 $\pm$3.64,0.060 $\pm$0.001 , 88.59 $\pm$0.31,0.021 $\pm$0.000
Mn,48.79,84.19 $\pm$ 0.41,51.31 $ \pm$ 1.98, 83.98 $ \pm$ 0.42, 86.25 $ \pm$ 0.39, 78.07 $\pm$29.56,0.050 $\pm$0.000 , 91.09 $\pm$0.17,0.016 $\pm$0.000
Fe,43.09,86.79 $\pm$ 0.32,88.45 $ \pm$ 0.36, 85.10 $ \pm$ 0.37, 87.97 $ \pm$ 0.42, 71.09 $\pm$5.85,0.100 $\pm$0.001 , 86.56 $\pm$0.22,0.016 $\pm$0.000
Co,53.55,82.66 $\pm$ 0.62,80.94 $ \pm$ 0.51, 68.09 $ \pm$ 1.38, 90.44 $ \pm$ 0.45, 76.54 $\pm$5.70,0.070 $\pm$0.001 , 85.61 $\pm$0.18,0.019 $\pm$0.000
Ni,61.72,84.61 $\pm$ 0.28,66.67 $ \pm$ 0.00, 75.44 $ \pm$ 0.55, 90.70 $ \pm$ 0.21, 37.46 $\pm$4.44,0.060 $\pm$0.000 , 93.17 $\pm$0.21,0.014 $\pm$0.000
Cu,63.82,83.76 $\pm$ 0.46,72.20 $ \pm$ 1.66, 87.75 $ \pm$ 0.35, 78.24 $ \pm$ 0.45, 71.66 $\pm$5.90,0.070 $\pm$0.001 , 60.97 $\pm$0.61,0.050 $\pm$0.001
'Avgs.', 51.71, 85.04, 77.84, 80.19, 86.97, 69.46, 0.07, 84.99, 0.02
