,NN-Material,NN- Coord Baseline,RF- Coord Acc.,NN- Coord Acc.,RF- Coord F1 (4),NN- Coord F1 (4),RF- Coord F1 (5),NN- Coord F1 (5),RF- Coord F1 (6),NN- Coord F1 (6),RF- Bader $R^2$,NN- Bader $R^2$,RF- Bader MAE,NN- Bader MAE,RF- Mean NN $R^2$,NN- Mean NN $R^2$,RF- Mean NN-MAE,NN- Mean NN-MAE
0,Ti,34.43,88.20 $\pm$ 0.12,91.48 $\pm$ 0.58,93.84 $ \pm$ 0.13,97.27 $ \pm$ 0.50, 81.98 $ \pm$ 0.20, 87.64 $ \pm$ 0.85, 88.67 $ \pm$ 0.17, 89.78 $ \pm$ 0.75, 64.08 $\pm$0.23, 74.46 $\pm$1.18,0.060 $\pm$0.000 ,0.060 $\pm$0.002 , 80.77 $\pm$0.18, 88.27 $\pm$1.15,0.015 $\pm$0.000,0.012 $\pm$0.001
1,V,34.35,86.56 $\pm$ 0.15,89.11 $\pm$ 0.67,94.64 $ \pm$ 0.09,96.40 $ \pm$ 0.43, 78.81 $ \pm$ 0.24, 83.93 $ \pm$ 1.09, 85.87 $ \pm$ 0.17, 87.19 $ \pm$ 0.84, 84.88 $\pm$0.05, 88.13 $\pm$0.43,0.070 $\pm$0.000 ,0.060 $\pm$0.001 , 94.90 $\pm$0.03, 96.71 $\pm$0.27,0.014 $\pm$0.000,0.012 $\pm$0.001
2,Cr,34.93,90.76 $\pm$ 0.21,93.50 $\pm$ 1.13,97.64 $ \pm$ 0.10,99.08 $ \pm$ 0.39, 85.29 $ \pm$ 0.35, 90.12 $ \pm$ 1.73, 89.29 $ \pm$ 0.27, 91.39 $ \pm$ 1.39, 87.27 $\pm$0.10, 92.27 $\pm$0.37,0.060 $\pm$0.000 ,0.050 $\pm$0.001 , 92.10 $\pm$0.09, 95.19 $\pm$0.75,0.020 $\pm$0.000,0.019 $\pm$0.003
3,Mn,34.54,87.45 $\pm$ 0.09,89.40 $\pm$ 0.64,96.27 $ \pm$ 0.05,98.10 $ \pm$ 0.35, 81.85 $ \pm$ 0.15, 84.80 $ \pm$ 1.01, 84.95 $ \pm$ 0.13, 86.06 $ \pm$ 0.77, 85.05 $\pm$0.07, 90.66 $\pm$0.49,0.060 $\pm$0.000 ,0.050 $\pm$0.001 , 92.10 $\pm$0.05, 93.86 $\pm$0.25,0.018 $\pm$0.000,0.016 $\pm$0.001
4,Fe,35.2,86.42 $\pm$ 0.14,88.16 $\pm$ 0.71,91.82 $ \pm$ 0.12,93.61 $ \pm$ 0.56, 79.99 $ \pm$ 0.21, 82.66 $ \pm$ 1.25, 87.57 $ \pm$ 0.14, 88.36 $ \pm$ 0.66, 78.32 $\pm$0.07, 82.29 $\pm$0.38,0.100 $\pm$0.000 ,0.080 $\pm$0.001 , 86.44 $\pm$0.07, 89.97 $\pm$1.09,0.017 $\pm$0.000,0.015 $\pm$0.001
5,Co,34.19,88.75 $\pm$ 0.14,90.67 $\pm$ 1.22,93.91 $ \pm$ 0.12,96.04 $ \pm$ 1.14, 82.50 $ \pm$ 0.23, 86.13 $ \pm$ 1.76, 89.60 $ \pm$ 0.18, 90.02 $ \pm$ 0.86, 80.89 $\pm$0.10, 87.92 $\pm$0.50,0.070 $\pm$0.000 ,0.060 $\pm$0.001 , 89.87 $\pm$0.07, 92.00 $\pm$0.65,0.018 $\pm$0.000,0.017 $\pm$0.001
6,Ni,34.98,89.21 $\pm$ 0.13,91.49 $\pm$ 0.64,96.18 $ \pm$ 0.13,97.25 $ \pm$ 0.64, 83.56 $ \pm$ 0.19, 87.27 $ \pm$ 0.97, 88.06 $ \pm$ 0.15, 90.23 $ \pm$ 0.74, 62.85 $\pm$0.31, 77.65 $\pm$1.52,0.060 $\pm$0.000 ,0.050 $\pm$0.002 , 88.30 $\pm$0.10, 91.30 $\pm$0.80,0.016 $\pm$0.000,0.015 $\pm$0.001
7,Cu,34.78,88.89 $\pm$ 0.14,92.54 $\pm$ 1.62,90.90 $ \pm$ 0.17,94.31 $ \pm$ 1.44, 84.98 $ \pm$ 0.18, 89.45 $ \pm$ 2.07, 91.25 $ \pm$ 0.12, 94.00 $ \pm$ 1.38, 75.65 $\pm$0.14, 89.60 $\pm$0.62,0.080 $\pm$0.000 ,0.050 $\pm$0.002 , 61.36 $\pm$0.20, 65.80 $\pm$2.35,0.053 $\pm$0.000,0.050 $\pm$0.003
8,'Avgs.',34.67, 88.28, 90.79, 94.4, 96.51, 82.37, 86.5, 88.16, 89.63, 77.37, 85.37, 0.07, 0.06, 85.73, 89.14, 0.02, 0.02
