Material, Coord Baseline, Coord Acc., Coord F1 (4), Coord F1 (5), Coord F1 (6), Bader $R^2$, Bader MAE, Mean NN $R^2$, Mean NN-MAE
Ti,52.12,90.23 $\pm$ 0.95,97.54 $ \pm$ 0.67, 85.91 $ \pm$ 1.33, 87.62 $ \pm$ 1.23, 60.47 $\pm$6.59,0.070 $\pm$0.004 , 77.80 $\pm$6.83,0.015 $\pm$0.001
V,35.60,85.97 $\pm$ 0.96,95.14 $ \pm$ 0.64, 79.91 $ \pm$ 1.34, 82.96 $ \pm$ 1.40, 81.91 $\pm$1.87,0.080 $\pm$0.005 , 93.86 $\pm$1.68,0.016 $\pm$0.003
Cr,54.98,92.48 $\pm$ 1.15,99.08 $ \pm$ 0.57, 89.33 $ \pm$ 1.57, 89.29 $ \pm$ 2.00, 82.49 $\pm$3.02,0.070 $\pm$0.007 , 92.16 $\pm$1.72,0.022 $\pm$0.002
Mn,48.79,86.96 $\pm$ 0.84,97.58 $ \pm$ 0.53, 81.92 $ \pm$ 1.03, 82.00 $ \pm$ 1.66, 85.19 $\pm$2.36,0.060 $\pm$0.004 , 91.53 $\pm$1.56,0.018 $\pm$0.002
Fe,43.09,87.83 $\pm$ 1.04,94.56 $ \pm$ 0.72, 82.32 $ \pm$ 1.39, 86.84 $ \pm$ 1.58, 77.78 $\pm$2.81,0.100 $\pm$0.003 , 87.41 $\pm$2.68,0.018 $\pm$0.003
Co,53.55,90.17 $\pm$ 1.02,96.54 $ \pm$ 0.69, 85.84 $ \pm$ 1.37, 88.40 $ \pm$ 1.39, 77.97 $\pm$3.40,0.070 $\pm$0.004 , 86.99 $\pm$2.95,0.020 $\pm$0.002
Ni,61.72,91.75 $\pm$ 1.14,98.64 $ \pm$ 0.64, 88.27 $ \pm$ 1.66, 88.86 $ \pm$ 1.48, 47.09 $\pm$12.08,0.070 $\pm$0.004 , 85.35 $\pm$4.58,0.019 $\pm$0.003
Cu,63.82,92.67 $\pm$ 1.13,94.06 $ \pm$ 1.14, 88.81 $ \pm$ 1.85, 95.00 $ \pm$ 0.89, 74.51 $\pm$2.82,0.080 $\pm$0.004 , 55.47 $\pm$4.75,0.056 $\pm$0.003
'Avgs.', 51.71, 89.76, 96.64, 85.29, 87.62, 73.43, 0.08, 83.82, 0.02
