Material, Coord Baseline, Coord Acc., Coord F1 (4), Coord F1 (5), Coord F1 (6), Bader $R^2$, Bader MAE, Mean NN $R^2$, Mean NN-MAE
Ti,34.90,91.36 $\pm$ 0.02,96.69 $ \pm$ 0.16, 86.97 $ \pm$ 0.05, 90.67 $ \pm$ 0.11, 27.89 $\pm$23.68,0.070 $\pm$0.000 , 63.92 $\pm$0.18,0.031 $\pm$0.000
V,34.88,85.85 $\pm$ 0.10,94.33 $ \pm$ 0.16, 78.55 $ \pm$ 0.17, 84.48 $ \pm$ 0.17, 77.43 $\pm$2.84,0.080 $\pm$0.000 , 87.08 $\pm$0.00,0.030 $\pm$0.000
Cr,35.31,93.60 $\pm$ 0.23,98.08 $ \pm$ 0.07, 90.92 $ \pm$ 0.32, 92.34 $ \pm$ 0.38, 76.08 $\pm$4.22,0.080 $\pm$0.000 , 88.37 $\pm$0.02,0.035 $\pm$0.000
Mn,35.41,88.72 $\pm$ 0.19,98.53 $ \pm$ 0.10, 84.02 $ \pm$ 0.28, 84.48 $ \pm$ 0.32, 78.09 $\pm$2.80,0.070 $\pm$0.000 , 83.03 $\pm$0.04,0.033 $\pm$0.000
Fe,34.35,89.24 $\pm$ 0.09,95.39 $ \pm$ 0.09, 83.86 $ \pm$ 0.15, 88.47 $ \pm$ 0.08, 62.00 $\pm$8.85,0.110 $\pm$0.000 , 76.95 $\pm$0.06,0.031 $\pm$0.000
Co,35.74,90.93 $\pm$ 0.03,96.53 $ \pm$ 0.08, 86.59 $ \pm$ 0.09, 90.04 $ \pm$ 0.07, 61.62 $\pm$7.57,0.080 $\pm$0.000 , 83.44 $\pm$0.07,0.032 $\pm$0.000
Ni,36.59,93.56 $\pm$ 0.05,99.56 $ \pm$ 0.00, 90.57 $ \pm$ 0.06, 91.29 $ \pm$ 0.08, -36.36 $\pm$61.59,0.070 $\pm$0.000 , 78.94 $\pm$0.19,0.032 $\pm$0.000
Cu,36.69,94.69 $\pm$ 0.14,96.14 $ \pm$ 0.08, 92.54 $ \pm$ 0.19, 95.61 $ \pm$ 0.14, 53.79 $\pm$11.01,0.090 $\pm$0.000 , 57.72 $\pm$0.18,0.061 $\pm$0.000
'Avgs.', 35.48, 91.0, 96.91, 86.75, 89.67, 50.07, 0.08, 77.43, 0.04
