Material, Coord Baseline, Coord Acc., Coord F1 (4), Coord F1 (5), Coord F1 (6), Bader $R^2$, Bader MAE, Mean NN $R^2$, Mean NN-MAE
Ti,34.90,91.26 $\pm$ 0.67,97.95 $ \pm$ 0.60, 87.04 $ \pm$ 1.01, 89.17 $ \pm$ 0.89, 40.96 $\pm$19.63,0.060 $\pm$0.003 , 72.60 $\pm$5.47,0.015 $\pm$0.001
V,34.88,87.97 $\pm$ 0.89,95.51 $ \pm$ 0.62, 81.39 $ \pm$ 1.37, 86.76 $ \pm$ 1.23, 76.20 $\pm$3.41,0.070 $\pm$0.003 , 93.37 $\pm$1.21,0.014 $\pm$0.001
Cr,35.31,94.37 $\pm$ 0.89,99.23 $ \pm$ 0.48, 91.63 $ \pm$ 1.42, 92.47 $ \pm$ 1.19, 68.71 $\pm$12.84,0.070 $\pm$0.004 , 91.53 $\pm$3.03,0.020 $\pm$0.002
Mn,35.41,89.16 $\pm$ 0.69,98.90 $ \pm$ 0.30, 84.27 $ \pm$ 0.95, 85.09 $ \pm$ 1.11, 78.38 $\pm$5.61,0.060 $\pm$0.002 , 90.75 $\pm$1.57,0.017 $\pm$0.001
Fe,34.35,90.42 $\pm$ 0.59,96.22 $ \pm$ 0.63, 85.52 $ \pm$ 1.02, 89.62 $ \pm$ 0.84, 70.19 $\pm$8.05,0.100 $\pm$0.003 , 87.23 $\pm$1.76,0.016 $\pm$0.001
Co,35.74,92.37 $\pm$ 0.96,97.11 $ \pm$ 0.69, 88.32 $ \pm$ 1.46, 91.70 $ \pm$ 1.27, 71.22 $\pm$6.24,0.070 $\pm$0.005 , 87.45 $\pm$3.11,0.018 $\pm$0.001
Ni,36.59,94.19 $\pm$ 0.69,99.24 $ \pm$ 0.40, 91.50 $ \pm$ 1.09, 92.23 $ \pm$ 0.91, 35.74 $\pm$16.19,0.060 $\pm$0.003 , 86.70 $\pm$5.33,0.015 $\pm$0.001
Cu,36.69,95.63 $\pm$ 0.63,96.89 $ \pm$ 0.70, 93.48 $ \pm$ 0.93, 96.52 $ \pm$ 0.63, 65.44 $\pm$6.71,0.080 $\pm$0.004 , 57.33 $\pm$3.65,0.054 $\pm$0.002
'Avgs.', 35.48, 91.92, 97.63, 87.89, 90.44, 63.35, 0.07, 83.37, 0.02
