,Material,P-Value Acc,P-Value F4,P-Value F5,P-Value F6,P-Value B R2,P-Value B MAE,P-Value MD R2,P-Value MD MAE
0,Ti,0.2305126190185547,1.33514404296875e-05,8.20159912109375e-05,8.20159912109375e-05,1.9073486328125e-06,1.9073486328125e-06,0.0002613067626953125,1.9073486328125e-06
1,V,0.34881019592285156,0.026641845703125,0.001209259033203125,0.005580902099609375,1.33514404296875e-05,2.6702880859375e-05,0.0003948211669921875,3.814697265625e-06
2,Cr,2.6702880859375e-05,0.5958194732666016,3.62396240234375e-05,1.33514404296875e-05,0.000133514404296875,1.9073486328125e-06,0.0003948211669921875,0.10539817810058594
3,Mn,0.6742229461669922,9.5367431640625e-06,0.8123550415039062,0.0001049041748046875,1.9073486328125e-05,1.9073486328125e-05,1.9073486328125e-06,0.0007076263427734375
4,Fe,2.6702880859375e-05,0.0002613067626953125,0.029575347900390625,9.5367431640625e-06,0.021484375,3.814697265625e-06,1.9073486328125e-06,1.9073486328125e-06
5,Co,0.0023250579833984375,4.76837158203125e-05,0.21616744995117188,5.7220458984375e-06,0.0002613067626953125,0.000209808349609375,5.7220458984375e-06,0.38837623596191406
6,Ni,0.023950576782226562,0.03276824951171875,0.47490501403808594,0.0001049041748046875,0.0758514404296875,1.9073486328125e-06,1.9073486328125e-05,0.3299827575683594
7,Cu,1.9073486328125e-06,1.9073486328125e-06,1.9073486328125e-06,3.814697265625e-06,1.9073486328125e-06,1.9073486328125e-06,1.9073486328125e-05,0.05316925048828125
