Material, Coord Baseline, Coord Acc., Coord F1 (4), Coord F1 (5), Coord F1 (6), Bader $R^2$, Bader MAE, Mean NN $R^2$, Mean NN-MAE
Ti,51.38,85.99 $\pm$ 1.09,77.53 $ \pm$ 2.14, 86.33 $ \pm$ 1.11, 87.21 $ \pm$ 1.11, 59.33 $\pm$2.61,0.070 $\pm$0.003 , 85.11 $\pm$2.60,0.015 $\pm$0.002
V,38.28,85.07 $\pm$ 0.98,95.73 $ \pm$ 0.85, 78.71 $ \pm$ 1.25, 82.55 $ \pm$ 1.28, 79.89 $\pm$1.26,0.080 $\pm$0.003 , 93.53 $\pm$0.95,0.018 $\pm$0.002
Cr,59.15,82.30 $\pm$ 1.69,91.02 $ \pm$ 1.24, 62.91 $ \pm$ 2.70, 87.26 $ \pm$ 1.71, 86.04 $\pm$1.83,0.070 $\pm$0.004 , 83.49 $\pm$1.95,0.026 $\pm$0.003
Mn,49.55,80.04 $\pm$ 0.98,60.28 $ \pm$ 3.92, 80.82 $ \pm$ 0.88, 81.01 $ \pm$ 1.31, 81.78 $\pm$1.33,0.060 $\pm$0.002 , 91.06 $\pm$0.65,0.019 $\pm$0.001
Fe,46.26,80.63 $\pm$ 1.02,80.33 $ \pm$ 2.11, 79.73 $ \pm$ 1.06, 81.85 $ \pm$ 1.21, 76.54 $\pm$1.00,0.100 $\pm$0.003 , 86.19 $\pm$1.78,0.019 $\pm$0.001
Co,52.62,79.71 $\pm$ 0.94,78.02 $ \pm$ 2.39, 67.95 $ \pm$ 1.32, 87.08 $ \pm$ 1.21, 79.94 $\pm$1.89,0.070 $\pm$0.004 , 88.42 $\pm$1.69,0.022 $\pm$0.002
Ni,67.06,83.95 $\pm$ 1.32,69.20 $ \pm$ 4.32, 72.09 $ \pm$ 2.19, 90.18 $ \pm$ 0.99, 48.72 $\pm$9.60,0.070 $\pm$0.006 , 77.63 $\pm$14.57,0.029 $\pm$0.013
Cu,67.75,81.98 $\pm$ 1.23,65.82 $ \pm$ 3.66, 87.39 $ \pm$ 0.96, 72.96 $ \pm$ 2.82, 60.58 $\pm$4.73,0.090 $\pm$0.005 , 58.85 $\pm$5.04,0.053 $\pm$0.003
'Avgs.', 54.01, 82.46, 77.24, 76.99, 83.76, 71.6, 0.08, 83.04, 0.03
