,Material,P-Value Acc,P-Value F4,P-Value F5,P-Value F6,P-Value B R2,P-Value B MAE,P-Value MD R2,P-Value MD MAE
0,Ti,1.9073486328125e-06,1.9073486328125e-06,1.9073486328125e-06,6.29425048828125e-05,1.9073486328125e-06,1.9073486328125e-06,1.9073486328125e-06,1.9073486328125e-06
1,V,1.9073486328125e-06,1.9073486328125e-06,1.9073486328125e-06,1.9073486328125e-06,1.9073486328125e-06,1.9073486328125e-06,1.9073486328125e-06,1.9073486328125e-06
2,Cr,1.9073486328125e-06,1.9073486328125e-06,1.9073486328125e-06,5.7220458984375e-06,1.9073486328125e-06,1.9073486328125e-06,1.9073486328125e-06,0.0019855499267578125
3,Mn,1.9073486328125e-06,1.9073486328125e-06,1.9073486328125e-06,1.9073486328125e-06,1.9073486328125e-06,1.9073486328125e-06,1.9073486328125e-06,1.9073486328125e-06
4,Fe,1.9073486328125e-06,1.9073486328125e-06,1.9073486328125e-06,5.7220458984375e-06,1.9073486328125e-06,1.9073486328125e-06,1.9073486328125e-06,1.9073486328125e-06
5,Co,3.814697265625e-06,1.9073486328125e-06,3.814697265625e-06,0.00485992431640625,1.9073486328125e-06,1.9073486328125e-06,1.9073486328125e-06,0.002712249755859375
6,Ni,1.9073486328125e-06,1.9073486328125e-06,1.9073486328125e-06,1.9073486328125e-06,1.9073486328125e-06,1.9073486328125e-06,1.9073486328125e-06,0.000850677490234375
7,Cu,1.9073486328125e-06,1.9073486328125e-06,1.9073486328125e-06,1.9073486328125e-06,1.9073486328125e-06,1.9073486328125e-06,0.0007076263427734375,0.000850677490234375
