,NN-Material,NN- Coord Baseline,RF- Coord Acc.,NN- Coord Acc.,RF- Coord F1 (4),NN- Coord F1 (4),RF- Coord F1 (5),NN- Coord F1 (5),RF- Coord F1 (6),NN- Coord F1 (6),RF- Bader $R^2$,NN- Bader $R^2$,RF- Bader MAE,NN- Bader MAE,RF- Mean NN $R^2$,NN- Mean NN $R^2$,RF- Mean NN-MAE,NN- Mean NN-MAE
0,Ti,52.12,88.29 $\pm$ 0.33,94.10 $\pm$ 0.75,94.29 $ \pm$ 0.51,98.54 $ \pm$ 0.30, 82.27 $ \pm$ 0.57, 91.58 $ \pm$ 1.01, 88.43 $ \pm$ 0.45, 92.51 $ \pm$ 1.05, 66.89 $\pm$2.40, 83.29 $\pm$2.76,0.060 $\pm$0.001 ,0.050 $\pm$0.003 , 78.71 $\pm$3.15, 87.69 $\pm$4.51,0.015 $\pm$0.001,0.015 $\pm$0.003
1,V,35.6,86.94 $\pm$ 0.54,92.03 $\pm$ 0.59,95.35 $ \pm$ 0.43,97.81 $ \pm$ 0.36, 79.25 $ \pm$ 0.89, 88.56 $ \pm$ 0.81, 85.72 $ \pm$ 0.66, 89.81 $ \pm$ 0.89, 85.41 $\pm$0.59, 91.36 $\pm$0.65,0.070 $\pm$0.001 ,0.060 $\pm$0.003 , 94.34 $\pm$0.70, 96.49 $\pm$0.53,0.015 $\pm$0.000,0.014 $\pm$0.002
2,Cr,54.98,91.15 $\pm$ 0.52,96.51 $\pm$ 0.69,97.94 $ \pm$ 0.22,99.70 $ \pm$ 0.21, 86.32 $ \pm$ 0.78, 94.79 $ \pm$ 0.96, 89.39 $ \pm$ 0.70, 95.15 $ \pm$ 0.99, 87.51 $\pm$0.89, 93.96 $\pm$0.90,0.060 $\pm$0.002 ,0.050 $\pm$0.003 , 93.41 $\pm$1.47, 96.62 $\pm$1.04,0.018 $\pm$0.001,0.018 $\pm$0.002
3,Mn,48.79,87.30 $\pm$ 0.28,91.87 $\pm$ 0.50,95.73 $ \pm$ 0.28,98.66 $ \pm$ 0.25, 81.43 $ \pm$ 0.33, 88.45 $ \pm$ 0.68, 85.31 $ \pm$ 0.39, 89.02 $ \pm$ 0.85, 84.85 $\pm$0.83, 92.82 $\pm$0.89,0.060 $\pm$0.001 ,0.040 $\pm$0.002 , 92.16 $\pm$0.54, 94.53 $\pm$0.98,0.017 $\pm$0.000,0.017 $\pm$0.002
4,Fe,43.09,86.82 $\pm$ 0.48,91.33 $\pm$ 0.70,92.70 $ \pm$ 0.43,95.53 $ \pm$ 0.38, 79.78 $ \pm$ 0.79, 87.34 $ \pm$ 1.00, 87.81 $ \pm$ 0.60, 91.24 $ \pm$ 0.94, 78.22 $\pm$1.05, 87.31 $\pm$1.00,0.100 $\pm$0.002 ,0.070 $\pm$0.003 , 88.71 $\pm$0.86, 92.22 $\pm$1.10,0.016 $\pm$0.000,0.017 $\pm$0.002
5,Co,53.55,89.29 $\pm$ 0.36,93.91 $\pm$ 0.66,94.09 $ \pm$ 0.33,97.62 $ \pm$ 0.40, 83.34 $ \pm$ 0.62, 91.13 $ \pm$ 0.92, 90.19 $ \pm$ 0.49, 93.16 $ \pm$ 0.86, 81.48 $\pm$2.34, 90.63 $\pm$2.08,0.070 $\pm$0.002 ,0.050 $\pm$0.003 , 89.94 $\pm$0.88, 92.88 $\pm$1.36,0.018 $\pm$0.001,0.019 $\pm$0.003
6,Ni,61.72,90.13 $\pm$ 0.45,94.27 $\pm$ 0.64,96.35 $ \pm$ 0.33,98.83 $ \pm$ 0.28, 84.96 $ \pm$ 0.67, 91.60 $ \pm$ 0.87, 89.18 $ \pm$ 0.74, 92.63 $ \pm$ 0.85, 62.75 $\pm$2.15, 83.12 $\pm$2.84,0.060 $\pm$0.001 ,0.050 $\pm$0.004 , 89.45 $\pm$2.02, 90.65 $\pm$6.18,0.015 $\pm$0.001,0.019 $\pm$0.005
7,Cu,63.82,89.23 $\pm$ 0.45,95.48 $\pm$ 0.78,90.74 $ \pm$ 0.51,96.27 $ \pm$ 0.82, 85.22 $ \pm$ 0.66, 93.57 $ \pm$ 1.14, 92.17 $ \pm$ 0.47, 96.70 $ \pm$ 0.55, 76.08 $\pm$0.97, 90.19 $\pm$1.16,0.080 $\pm$0.001 ,0.050 $\pm$0.002 , 62.31 $\pm$1.48, 78.55 $\pm$2.92,0.052 $\pm$0.001,0.040 $\pm$0.003
8,'Avgs.',51.71, 88.64, 93.69, 94.65, 97.87, 82.82, 90.88, 88.52, 92.53, 77.9, 89.09, 0.07, 0.05, 86.13, 91.2, 0.02, 0.02
