Material, Coord Baseline, Coord Acc., Coord F1 (4), Coord F1 (5), Coord F1 (6), Bader $R^2$, Bader MAE, Mean NN $R^2$, Mean NN-MAE
Ti,51.38,87.54 $\pm$ 0.27,81.53 $ \pm$ 0.89, 87.58 $ \pm$ 0.27, 88.60 $ \pm$ 0.42, 58.14 $\pm$0.52,0.070 $\pm$0.001 , 86.41 $\pm$0.36,0.013 $\pm$0.000
V,38.28,88.47 $\pm$ 0.51,96.42 $ \pm$ 0.38, 82.07 $ \pm$ 0.78, 87.69 $ \pm$ 0.48, 83.52 $\pm$0.17,0.080 $\pm$0.000 , 92.98 $\pm$0.11,0.015 $\pm$0.000
Cr,59.15,86.60 $\pm$ 0.69,94.28 $ \pm$ 0.52, 68.09 $ \pm$ 1.36, 90.59 $ \pm$ 0.53, 85.07 $\pm$0.30,0.060 $\pm$0.001 , 83.83 $\pm$0.34,0.019 $\pm$0.000
Mn,49.55,80.12 $\pm$ 0.26,61.43 $ \pm$ 1.91, 80.37 $ \pm$ 0.24, 81.30 $ \pm$ 0.33, 78.61 $\pm$0.36,0.060 $\pm$0.000 , 91.91 $\pm$0.10,0.017 $\pm$0.000
Fe,46.26,84.24 $\pm$ 0.18,82.75 $ \pm$ 0.57, 83.21 $ \pm$ 0.22, 86.08 $ \pm$ 0.29, 79.25 $\pm$0.15,0.090 $\pm$0.000 , 89.24 $\pm$0.12,0.015 $\pm$0.000
Co,52.62,81.45 $\pm$ 0.47,80.81 $ \pm$ 0.54, 68.70 $ \pm$ 0.67, 88.56 $ \pm$ 0.40, 82.12 $\pm$0.24,0.060 $\pm$0.001 , 91.23 $\pm$0.16,0.016 $\pm$0.000
Ni,67.06,89.02 $\pm$ 0.64,83.10 $ \pm$ 1.14, 79.06 $ \pm$ 1.37, 93.25 $ \pm$ 0.41, 62.06 $\pm$1.23,0.060 $\pm$0.001 , 89.44 $\pm$0.22,0.014 $\pm$0.000
Cu,67.75,85.06 $\pm$ 0.46,63.11 $ \pm$ 2.60, 89.56 $ \pm$ 0.29, 81.90 $ \pm$ 1.16, 68.14 $\pm$0.46,0.080 $\pm$0.001 , 70.37 $\pm$0.55,0.047 $\pm$0.000
'Avgs.', 54.01, 85.31, 80.43, 79.83, 87.25, 74.61, 0.07, 86.92, 0.02
