Material, Coord Baseline, Coord Acc., Coord F1 (4), Coord F1 (5), Coord F1 (6), Bader $R^2$, Bader MAE, Mean NN $R^2$, Mean NN-MAE
Ti,34.90,90.38 $\pm$ 0.96,97.13 $ \pm$ 0.77, 85.90 $ \pm$ 1.52, 88.43 $ \pm$ 1.19, 40.96 $\pm$19.63,0.150 $\pm$0.011 , 52.25 $\pm$16.10,0.057 $\pm$0.006
V,34.88,86.44 $\pm$ 1.36,95.03 $ \pm$ 0.85, 79.36 $ \pm$ 2.58, 84.82 $ \pm$ 1.72, 76.20 $\pm$3.41,0.270 $\pm$0.009 , 89.65 $\pm$6.34,0.120 $\pm$0.005
Cr,35.31,90.67 $\pm$ 1.70,98.26 $ \pm$ 1.03, 86.59 $ \pm$ 2.46, 87.48 $ \pm$ 2.27, 68.71 $\pm$12.84,0.260 $\pm$0.016 , 79.24 $\pm$9.87,0.160 $\pm$0.011
Mn,35.41,86.91 $\pm$ 1.02,97.76 $ \pm$ 0.55, 80.68 $ \pm$ 1.80, 82.88 $ \pm$ 1.56, 78.38 $\pm$5.61,0.250 $\pm$0.012 , 85.86 $\pm$5.61,0.123 $\pm$0.006
Fe,34.35,87.10 $\pm$ 1.23,92.92 $ \pm$ 1.23, 80.93 $ \pm$ 1.91, 87.55 $ \pm$ 1.31, 70.19 $\pm$8.05,0.260 $\pm$0.013 , 79.53 $\pm$5.36,0.099 $\pm$0.005
Co,35.74,87.79 $\pm$ 1.66,95.08 $ \pm$ 1.51, 81.29 $ \pm$ 2.59, 87.03 $ \pm$ 1.62, 71.22 $\pm$6.24,0.200 $\pm$0.013 , 71.98 $\pm$8.97,0.113 $\pm$0.005
Ni,36.59,90.84 $\pm$ 1.48,98.41 $ \pm$ 0.73, 86.49 $ \pm$ 2.37, 88.06 $ \pm$ 1.96, 35.74 $\pm$16.19,0.130 $\pm$0.010 , 73.82 $\pm$11.26,0.098 $\pm$0.006
Cu,36.69,91.78 $\pm$ 1.59,93.77 $ \pm$ 1.28, 87.64 $ \pm$ 2.30, 93.82 $ \pm$ 1.65, 65.44 $\pm$6.71,0.220 $\pm$0.015 , 28.43 $\pm$43.86,0.133 $\pm$0.007
'Avgs.', 35.48, 88.99, 96.04, 83.61, 87.51, 63.35, 0.22, 70.1, 0.11
