,Material,P-Value Acc,P-Value F4,P-Value F5,P-Value F6,P-Value B R2,P-Value B MAE,P-Value MD R2,P-Value MD MAE
0,Ti,0.00012042223841686183,8.857457687863547e-05,8.857457687863547e-05,0.0071891683913754955,0.0045499278703053396,8.857457687863547e-05,0.0031851432686599455,8.857457687863547e-05
1,V,0.45527280991543384,0.41146474044009396,0.04004379807224231,0.47812547119613813,0.00010334649564653764,8.857457687863547e-05,0.03334022025101753,8.857457687863547e-05
2,Cr,0.0002931615477586367,0.00016285576606790404,0.00012042223841686183,0.0010188290449538871,0.8227604017844778,8.857457687863547e-05,0.15600357596610903,8.857457687863547e-05
3,Mn,0.001944297402789292,0.0002931615477586367,0.0017130176382195042,0.02276874371892181,0.03656128916854718,8.857457687863547e-05,0.0057339909503071225,8.857457687863547e-05
4,Fe,0.02276874371892181,0.09296312671248624,0.002495007691836849,0.10842674449200547,0.001944297402789292,8.857457687863547e-05,0.39053287003351767,8.857457687863547e-05
5,Co,0.47812547119613813,0.26272224684071965,0.16718404068982073,0.7938390455415016,0.6274460333215013,8.857457687863547e-05,0.08592386002788616,8.857457687863547e-05
6,Ni,0.06195278853716299,0.1789561131984324,0.02276874371892181,0.07313806917102693,0.14539977506508558,8.857457687863547e-05,0.970219757029658,8.857457687863547e-05
7,Cu,0.004045197049694201,0.002495007691836849,0.005111048721938279,0.004045197049694201,0.00803442885556667,8.857457687863547e-05,0.0064246026289671515,8.857457687863547e-05
