Material, Coord Baseline, Coord Acc., Coord F1 (4), Coord F1 (5), Coord F1 (6), Bader $R^2$, Bader MAE, Mean NN $R^2$, Mean NN-MAE
Ti,52.12,92.16 $\pm$ 0.85,97.65 $ \pm$ 0.76, 88.57 $ \pm$ 1.25, 90.63 $ \pm$ 0.84, 79.47 $\pm$2.84,0.050 $\pm$0.003 , 89.21 $\pm$4.72,0.011 $\pm$0.001
V,35.60,89.27 $\pm$ 0.61,96.41 $ \pm$ 0.42, 84.02 $ \pm$ 1.17, 87.39 $ \pm$ 0.92, 89.77 $\pm$0.59,0.060 $\pm$0.001 , 96.58 $\pm$0.35,0.012 $\pm$0.001
Cr,54.98,94.89 $\pm$ 1.03,99.37 $ \pm$ 0.31, 92.35 $ \pm$ 1.50, 93.11 $ \pm$ 1.44, 93.19 $\pm$0.88,0.050 $\pm$0.002 , 96.60 $\pm$0.65,0.016 $\pm$0.001
Mn,48.79,89.75 $\pm$ 0.63,98.11 $ \pm$ 0.60, 85.04 $ \pm$ 1.08, 86.78 $ \pm$ 0.54, 91.28 $\pm$0.70,0.050 $\pm$0.002 , 94.61 $\pm$0.36,0.015 $\pm$0.000
Fe,43.09,89.33 $\pm$ 0.80,94.56 $ \pm$ 0.42, 84.25 $ \pm$ 1.30, 89.28 $ \pm$ 1.10, 83.48 $\pm$0.85,0.080 $\pm$0.002 , 92.15 $\pm$1.74,0.014 $\pm$0.001
Co,53.55,91.91 $\pm$ 0.57,96.74 $ \pm$ 0.58, 87.95 $ \pm$ 0.89, 91.24 $ \pm$ 0.62, 89.16 $\pm$1.96,0.050 $\pm$0.002 , 93.09 $\pm$1.19,0.015 $\pm$0.001
Ni,61.72,92.50 $\pm$ 0.90,97.76 $ \pm$ 0.69, 88.89 $ \pm$ 1.27, 91.13 $ \pm$ 0.94, 79.27 $\pm$3.07,0.050 $\pm$0.003 , 92.50 $\pm$1.77,0.014 $\pm$0.001
Cu,63.82,93.17 $\pm$ 1.13,94.49 $ \pm$ 1.16, 90.25 $ \pm$ 1.56, 94.87 $ \pm$ 0.87, 89.80 $\pm$1.26,0.050 $\pm$0.002 , 68.19 $\pm$3.55,0.046 $\pm$0.003
'Avgs.', 51.71, 91.62, 96.89, 87.66, 90.55, 86.93, 0.06, 90.37, 0.02
