,NN-Material,NN- Coord Baseline,RF- Coord Acc.,NN- Coord Acc.,RF- Coord F1 (4),NN- Coord F1 (4),RF- Coord F1 (5),NN- Coord F1 (5),RF- Coord F1 (6),NN- Coord F1 (6),RF- Bader $R^2$,NN- Bader $R^2$,RF- Bader MAE,NN- Bader MAE,RF- Mean NN $R^2$,NN- Mean NN $R^2$,RF- Mean NN-MAE,NN- Mean NN-MAE
0,Ti,52.12,91.15 $\pm$ 0.59,90.21 $\pm$ 0.91,97.86 $ \pm$ 0.62,97.68 $ \pm$ 0.47, 86.81 $ \pm$ 0.86, 85.96 $ \pm$ 1.16, 89.12 $ \pm$ 0.84, 87.40 $ \pm$ 1.49, 63.85 $\pm$3.74, 62.08 $\pm$5.72,0.060 $\pm$0.003 ,0.070 $\pm$0.004 , 73.82 $\pm$4.69, 71.65 $\pm$7.04,0.015 $\pm$0.001,0.017 $\pm$0.002
1,V,35.6,88.12 $\pm$ 0.82,86.31 $\pm$ 1.12,95.51 $ \pm$ 0.60,94.82 $ \pm$ 0.84, 81.56 $ \pm$ 1.29, 80.40 $ \pm$ 1.21, 87.00 $ \pm$ 1.14, 83.74 $ \pm$ 2.23, 82.91 $\pm$1.25, 80.42 $\pm$1.63,0.070 $\pm$0.003 ,0.080 $\pm$0.004 , 93.18 $\pm$1.30, 93.36 $\pm$1.36,0.014 $\pm$0.001,0.017 $\pm$0.002
2,Cr,54.98,94.40 $\pm$ 0.85,92.66 $\pm$ 0.91,99.26 $ \pm$ 0.43,98.94 $ \pm$ 0.64, 91.69 $ \pm$ 1.34, 89.45 $ \pm$ 1.23, 92.44 $ \pm$ 1.13, 89.87 $ \pm$ 1.13, 84.30 $\pm$2.64, 83.54 $\pm$2.47,0.070 $\pm$0.003 ,0.070 $\pm$0.005 , 91.32 $\pm$2.69, 91.45 $\pm$2.04,0.020 $\pm$0.002,0.024 $\pm$0.003
3,Mn,48.79,89.01 $\pm$ 0.67,86.99 $\pm$ 0.70,98.87 $ \pm$ 0.31,97.83 $ \pm$ 0.57, 84.08 $ \pm$ 0.91, 81.73 $ \pm$ 1.10, 84.87 $ \pm$ 1.08, 82.10 $ \pm$ 1.11, 83.83 $\pm$1.81, 83.57 $\pm$2.53,0.060 $\pm$0.002 ,0.060 $\pm$0.004 , 90.86 $\pm$1.17, 90.05 $\pm$1.42,0.017 $\pm$0.000,0.021 $\pm$0.002
4,Fe,43.09,90.41 $\pm$ 0.56,87.78 $\pm$ 1.05,96.28 $ \pm$ 0.65,94.12 $ \pm$ 0.95, 85.62 $ \pm$ 1.09, 81.90 $ \pm$ 1.54, 89.55 $ \pm$ 0.67, 87.41 $ \pm$ 1.35, 76.18 $\pm$2.07, 75.34 $\pm$2.35,0.100 $\pm$0.002 ,0.100 $\pm$0.003 , 87.21 $\pm$1.92, 84.74 $\pm$3.10,0.016 $\pm$0.001,0.022 $\pm$0.005
5,Co,53.55,92.34 $\pm$ 0.88,90.54 $\pm$ 1.01,97.05 $ \pm$ 0.78,96.73 $ \pm$ 0.91, 88.42 $ \pm$ 1.33, 86.33 $ \pm$ 1.47, 91.64 $ \pm$ 1.07, 88.83 $ \pm$ 1.12, 76.60 $\pm$4.90, 73.72 $\pm$4.53,0.070 $\pm$0.004 ,0.080 $\pm$0.005 , 87.94 $\pm$3.41, 85.83 $\pm$3.03,0.018 $\pm$0.002,0.023 $\pm$0.003
6,Ni,61.72,94.13 $\pm$ 0.77,92.10 $\pm$ 0.93,99.25 $ \pm$ 0.33,98.69 $ \pm$ 0.47, 91.34 $ \pm$ 1.23, 88.71 $ \pm$ 1.33, 92.20 $ \pm$ 0.99, 89.41 $ \pm$ 1.14, 52.67 $\pm$6.11, 44.60 $\pm$10.63,0.060 $\pm$0.003 ,0.070 $\pm$0.004 , 86.59 $\pm$5.34, 82.45 $\pm$6.84,0.015 $\pm$0.001,0.022 $\pm$0.006
7,Cu,63.82,95.60 $\pm$ 0.67,93.04 $\pm$ 0.93,96.83 $ \pm$ 0.79,94.55 $ \pm$ 1.13, 93.50 $ \pm$ 1.00, 89.41 $ \pm$ 1.44, 96.51 $ \pm$ 0.52, 95.07 $ \pm$ 0.82, 72.19 $\pm$3.05, 68.41 $\pm$3.70,0.080 $\pm$0.005 ,0.080 $\pm$0.004 , 57.16 $\pm$3.88, 53.65 $\pm$6.53,0.054 $\pm$0.002,0.058 $\pm$0.004
8,'Avgs.',51.71, 91.89, 89.95, 97.61, 96.67, 87.88, 85.49, 90.42, 87.98, 74.07, 71.46, 0.07, 0.08, 83.51, 81.65, 0.02, 0.03
