Material, Coord Baseline, Coord Acc., Coord F1 (4), Coord F1 (5), Coord F1 (6), Bader $R^2$, Bader MAE, Mean NN $R^2$, Mean NN-MAE
Ti,34.43,91.31 $\pm$ 0.69,97.18 $ \pm$ 0.51, 87.45 $ \pm$ 1.06, 89.54 $ \pm$ 0.90, 74.37 $\pm$1.31,0.060 $\pm$0.002 , 88.53 $\pm$1.00,0.012 $\pm$0.001
V,34.35,89.22 $\pm$ 0.59,96.50 $ \pm$ 0.39, 83.98 $ \pm$ 1.05, 87.34 $ \pm$ 0.70, 88.06 $\pm$0.20,0.060 $\pm$0.001 , 96.74 $\pm$0.24,0.012 $\pm$0.000
Cr,34.93,93.89 $\pm$ 0.85,99.09 $ \pm$ 0.38, 90.65 $ \pm$ 1.21, 92.02 $ \pm$ 1.05, 92.12 $\pm$0.73,0.050 $\pm$0.003 , 95.39 $\pm$0.51,0.018 $\pm$0.002
Mn,34.54,89.58 $\pm$ 0.47,98.13 $ \pm$ 0.24, 85.01 $ \pm$ 0.70, 86.36 $ \pm$ 0.69, 90.70 $\pm$0.35,0.050 $\pm$0.001 , 93.83 $\pm$0.25,0.016 $\pm$0.000
Fe,35.20,88.16 $\pm$ 0.71,93.57 $ \pm$ 0.78, 82.89 $ \pm$ 1.18, 88.25 $ \pm$ 0.59, 82.30 $\pm$0.64,0.080 $\pm$0.002 , 90.35 $\pm$0.50,0.015 $\pm$0.000
Co,34.19,91.09 $\pm$ 0.55,96.33 $ \pm$ 0.51, 86.70 $ \pm$ 0.88, 90.39 $ \pm$ 0.63, 87.90 $\pm$0.68,0.060 $\pm$0.002 , 92.15 $\pm$0.41,0.017 $\pm$0.001
Ni,34.98,91.60 $\pm$ 0.71,97.36 $ \pm$ 0.48, 87.44 $ \pm$ 1.01, 90.27 $ \pm$ 0.83, 76.97 $\pm$2.80,0.050 $\pm$0.003 , 91.34 $\pm$0.85,0.015 $\pm$0.002
Cu,34.78,92.99 $\pm$ 0.78,94.57 $ \pm$ 0.86, 89.99 $ \pm$ 1.10, 94.51 $ \pm$ 0.52, 89.59 $\pm$0.53,0.050 $\pm$0.002 , 66.71 $\pm$1.70,0.049 $\pm$0.002
'Avgs.', 34.67, 90.98, 96.59, 86.76, 89.84, 85.25, 0.06, 89.38, 0.02
