,Material,P-Value Acc,P-Value F4,P-Value F5,P-Value F6,P-Value B R2,P-Value B MAE,P-Value MD R2,P-Value MD MAE
0,Ti,0.20757844233562428,0.40081416938293446,0.32698934959801507,0.017290280592906253,NA,0.011718685599768628,0.03569190011680441,0.011718685599768628
1,V,0.09289194088370532,0.32698934959801507,0.011718685599768628,0.2626182904425206,NA,0.011718685599768628,0.03569190011680441,0.011718685599768628
2,Cr,0.02506184434388362,0.16091546335226525,0.03569190011680441,0.017290280592906253,NA,0.011718685599768628,0.8886378608950078,0.011718685599768628
3,Mn,0.011718685599768628,0.011718685599768628,0.011718685599768628,0.011718685599768628,NA,0.011718685599768628,0.0687035743228782,0.011718685599768628
4,Fe,0.011718685599768628,0.017290280592906253,0.011718685599768628,0.02506184434388362,NA,0.011718685599768628,0.32698934959801507,0.011718685599768628
5,Co,0.12348527214454898,0.017290280592906253,0.4838398513935682,0.011718685599768628,NA,0.011718685599768628,0.017290280592906253,0.011718685599768628
6,Ni,0.011718685599768628,0.2620327985527309,0.011718685599768628,0.011718685599768628,NA,0.011718685599768628,0.011718685599768628,0.011718685599768628
7,Cu,0.03569190011680441,0.03569190011680441,0.03569190011680441,0.16142946236708333,NA,0.011718685599768628,0.09289194088370532,0.011718685599768628
