Material, Coord Baseline, Coord Acc., Coord F1 (4), Coord F1 (5), Coord F1 (6), Bader $R^2$, Bader MAE, Mean NN $R^2$, Mean NN-MAE
Ti,34.43,88.20 $\pm$ 0.12,93.84 $ \pm$ 0.13, 81.98 $ \pm$ 0.20, 88.67 $ \pm$ 0.17, 64.08 $\pm$0.23,0.060 $\pm$0.000 , 80.77 $\pm$0.18,0.015 $\pm$0.000
V,34.35,86.56 $\pm$ 0.15,94.64 $ \pm$ 0.09, 78.81 $ \pm$ 0.24, 85.87 $ \pm$ 0.17, 84.88 $\pm$0.05,0.070 $\pm$0.000 , 94.90 $\pm$0.03,0.014 $\pm$0.000
Cr,34.93,90.76 $\pm$ 0.21,97.64 $ \pm$ 0.10, 85.29 $ \pm$ 0.35, 89.29 $ \pm$ 0.27, 87.27 $\pm$0.10,0.060 $\pm$0.000 , 92.10 $\pm$0.09,0.020 $\pm$0.000
Mn,34.54,87.45 $\pm$ 0.09,96.27 $ \pm$ 0.05, 81.85 $ \pm$ 0.15, 84.95 $ \pm$ 0.13, 85.05 $\pm$0.07,0.060 $\pm$0.000 , 92.10 $\pm$0.05,0.018 $\pm$0.000
Fe,35.20,86.42 $\pm$ 0.14,91.82 $ \pm$ 0.12, 79.99 $ \pm$ 0.21, 87.57 $ \pm$ 0.14, 78.32 $\pm$0.07,0.100 $\pm$0.000 , 86.44 $\pm$0.07,0.017 $\pm$0.000
Co,34.19,88.75 $\pm$ 0.14,93.91 $ \pm$ 0.12, 82.50 $ \pm$ 0.23, 89.60 $ \pm$ 0.18, 80.89 $\pm$0.10,0.070 $\pm$0.000 , 89.87 $\pm$0.07,0.018 $\pm$0.000
Ni,34.98,89.21 $\pm$ 0.13,96.18 $ \pm$ 0.13, 83.56 $ \pm$ 0.19, 88.06 $ \pm$ 0.15, 62.85 $\pm$0.31,0.060 $\pm$0.000 , 88.30 $\pm$0.10,0.016 $\pm$0.000
Cu,34.78,88.89 $\pm$ 0.14,90.90 $ \pm$ 0.17, 84.98 $ \pm$ 0.18, 91.25 $ \pm$ 0.12, 75.65 $\pm$0.14,0.080 $\pm$0.000 , 61.36 $\pm$0.20,0.053 $\pm$0.000
'Avgs.', 34.67, 88.28, 94.4, 82.37, 88.16, 77.37, 0.07, 85.73, 0.02
