Material, Coord Baseline, Coord Acc., Coord F1 (4), Coord F1 (5), Coord F1 (6), Bader $R^2$, Bader MAE, Mean NN $R^2$, Mean NN-MAE
Ti,34.43,95.67 $\pm$ 0.42,99.11 $ \pm$ 0.19, 93.76 $ \pm$ 0.62, 94.29 $ \pm$ 0.51, 85.86 $\pm$0.88,0.040 $\pm$0.002 , 92.29 $\pm$1.49,0.012 $\pm$0.002
V,34.35,94.45 $\pm$ 0.72,98.70 $ \pm$ 0.22, 92.27 $ \pm$ 0.85, 92.52 $ \pm$ 1.30, 93.50 $\pm$0.40,0.050 $\pm$0.002 , 97.45 $\pm$0.39,0.012 $\pm$0.001
Cr,34.93,97.63 $\pm$ 0.50,99.77 $ \pm$ 0.14, 96.44 $ \pm$ 0.72, 96.72 $ \pm$ 0.73, 94.84 $\pm$0.59,0.040 $\pm$0.002 , 97.15 $\pm$0.41,0.016 $\pm$0.001
Mn,34.54,93.91 $\pm$ 0.50,99.09 $ \pm$ 0.13, 91.40 $ \pm$ 0.61, 91.70 $ \pm$ 0.86, 94.61 $\pm$0.63,0.040 $\pm$0.002 , 94.99 $\pm$1.27,0.016 $\pm$0.002
Fe,35.20,93.00 $\pm$ 0.38,95.99 $ \pm$ 0.42, 90.11 $ \pm$ 0.53, 93.10 $ \pm$ 0.39, 90.30 $\pm$0.58,0.060 $\pm$0.002 , 92.36 $\pm$1.07,0.017 $\pm$0.002
Co,34.19,95.94 $\pm$ 0.39,99.04 $ \pm$ 0.17, 94.06 $ \pm$ 0.56, 94.88 $ \pm$ 0.56, 92.47 $\pm$0.49,0.040 $\pm$0.002 , 94.80 $\pm$0.87,0.017 $\pm$0.002
Ni,34.98,95.93 $\pm$ 0.40,99.24 $ \pm$ 0.15, 94.04 $ \pm$ 0.54, 94.74 $ \pm$ 0.57, 88.42 $\pm$0.97,0.040 $\pm$0.002 , 93.60 $\pm$1.08,0.015 $\pm$0.002
Cu,34.78,97.31 $\pm$ 0.50,97.75 $ \pm$ 0.52, 96.15 $ \pm$ 0.72, 98.09 $ \pm$ 0.35, 92.15 $\pm$2.12,0.040 $\pm$0.005 , 83.98 $\pm$1.75,0.035 $\pm$0.002
'Avgs.', 34.67, 95.48, 98.59, 93.53, 94.5, 91.52, 0.04, 93.33, 0.02
